exit_policy,scenario_id,rule_id,split,month,ledger_days,start_equity_yuan,end_equity_yuan,monthly_return,net_pnl_yuan,total_cost_yuan,traded_notional_yuan,avg_exposure,max_exposure,avg_active_positions,max_drawdown_in_month,daily_win_rate
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202403,21,471078.01015125355,483307.4872033139,0.025960619660709172,12229.47705206052,42138.94984702522,8427789.969405044,2.05584279549054,2.2421812463684985,100.0,-0.12076326031826723,0.47619047619047616
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202404,20,483307.4872033139,515646.16770102846,0.06691119288228742,32338.680497714457,40233.161522250026,8046632.304450007,2.2167976748242406,2.644185772871234,100.0,-0.26069199143617894,0.55
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202405,20,515646.16770102846,464205.4492957464,-0.09975972212617579,-51440.718405282074,40150.28485304605,8030056.9706092095,2.0172561371440185,2.146594799890923,100.0,-0.12708279658943544,0.4
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202406,19,464205.4492957464,330787.08418941504,-0.2874123199302001,-133418.36510633136,37473.94690377464,7494789.380754927,2.641800147129475,3.08716534918156,100.10526315789474,-0.27652296110327756,0.3684210526315789
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202407,23,330787.08418941504,348758.9533404351,0.054330625378133046,17971.869151020175,46136.671522556724,9227334.304511344,3.1613851980272467,3.448367601347367,100.0,-0.18247614728793526,0.5217391304347826
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202408,22,348758.9533404351,274536.0605980952,-0.21282003524620208,-74222.89274233984,43887.118804448626,8777423.760889726,3.480989481834788,4.422433978501125,100.0,-0.3445177948169953,0.36363636363636365
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202409,19,274536.0605980952,528720.9147997599,0.9258705528443365,254184.85420166462,38638.52130816227,7727704.261632455,4.320817677652363,5.170833071668707,100.0,-0.22769552162799456,0.42105263157894735
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202410,18,528720.9147997599,557323.7878381836,0.05409824396535612,28602.873038423637,36331.53470583808,7266306.941167617,1.8167560808889054,2.3657662045029526,100.11111111111111,-0.22849879783201998,0.5
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202411,21,557323.7878381836,601156.7225490327,0.0786489571544644,43832.934710848975,42314.77008500364,8462954.01700073,1.7105944018883448,1.8565000787447614,100.04761904761905,-0.06391389191619878,0.6190476190476191
delay_if_exit_blocked_max5,high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,202412,22,601156.7225490327,535742.9752761881,-0.10881313444433638,-65413.74727284482,44043.50727184692,8808701.454369385,1.7007814534088552,1.8059780775627703,100.0,-0.14489401404022095,0.5
