trade_id,rule_id,split,trade_date,ts_code,industry,original_exit_date,exit_suspend_flag_5d,exit_limit_down_close_flag_5d,resolved,unresolved,delay_days,delayed_exit_date,original_return,delayed_return,return_delta
54279,low_stock_ret_60d,train,20210428,600291.SH,UNKNOWN,20210510,False,True,True,False,1.0,20210511,-0.16666666666666663,-0.20155038759689914,-0.03488372093023251
55020,low_stock_ret_60d,train,20210625,002711.SZ,UNKNOWN,20210702,False,True,True,False,1.0,20210705,-0.11111111111111127,-0.07407407407407418,0.03703703703703709
55022,low_stock_ret_60d,train,20210625,600634.SH,UNKNOWN,20210702,False,True,True,False,1.0,20210705,0.0344827586206895,0.0344827586206895,0.0
55347,low_stock_ret_60d,train,20210719,002607.SZ,文教休闲,20210726,False,True,True,False,1.0,20210727,-0.11563731931668852,-0.19448094612352163,-0.0788436268068331
55353,low_stock_ret_60d,train,20210719,300010.SZ,软件服务,20210726,False,True,True,False,1.0,20210727,-0.17647058823529405,-0.27180527383367137,-0.09533468559837732
55387,low_stock_ret_60d,train,20210721,603477.SH,农业综合,20210728,False,True,True,False,1.0,20210729,-0.06741573033707848,-0.07958801498127333,-0.012172284644194842
55551,low_stock_ret_60d,train,20210802,600260.SH,UNKNOWN,20210809,False,True,True,False,1.0,20210810,0.056644880174292034,0.10893246187363848,0.05228758169934644
55670,low_stock_ret_60d,train,20210810,600260.SH,UNKNOWN,20210817,True,True,False,True,5.0,20210824,0.0,-0.22515212981744415,-0.22515212981744415
55691,low_stock_ret_60d,train,20210811,600260.SH,UNKNOWN,20210818,False,True,False,True,5.0,20210825,-0.04878048780487809,-0.2621951219512195,-0.21341463414634143
55730,low_stock_ret_60d,train,20210813,000526.SZ,文教休闲,20210820,False,True,True,False,1.0,20210823,-0.002123142250530674,0.03237791932059442,0.03450106157112509
56225,low_stock_ret_60d,train,20210917,002612.SZ,服饰,20210928,False,True,True,False,2.0,20210930,0.0353356890459362,-0.060070671378091856,-0.09540636042402806
56247,low_stock_ret_60d,train,20210922,002612.SZ,服饰,20210929,False,True,True,False,1.0,20210930,-0.11687876758204951,-0.10917615539182846,0.007702612190221059
