exit_policy,scenario_id,rule_id,split,year,signal_days,trades,net_pnl_yuan,avg_net_return_on_target,trade_win_rate,profit_factor,avg_fill_ratio
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2018,92,1840,181480.77260747616,0.009863085467797617,0.553804347826087,1.5744525379907037,1.0
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2019,25,500,-7040.523793841094,-0.0014081047587682204,0.464,0.9007711955512812,1.0
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2021,16,320,155539.64193533902,0.048606138104793445,0.75,5.681615455450356,1.0
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,train,2022,54,1080,97078.32776087782,0.008988734051933126,0.5361111111111111,1.3348120375768096,1.0
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,2023,1,20,11003.138077403126,0.05501569038701563,0.85,15.620999904043353,1.0
planned_t5_close,no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,2024,96,1920,223355.8690782467,0.011633118181158681,0.5302083333333333,1.472024013359653,1.0
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,train,2018,92,1840,210777.43355128274,0.01145529530170015,0.5315217391304348,1.3979272815399002,1.0
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,train,2019,25,500,39388.054106278694,0.007877610821255739,0.436,1.340611806216266,1.0
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,train,2021,16,320,258023.11132783815,0.08063222228994942,0.684375,4.714345595192785,1.0
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,train,2022,54,1080,121826.36718887201,0.011280219184154821,0.5287037037037037,1.3190683105438474,1.0
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,validation,2023,1,20,14695.418952790213,0.07347709476395106,0.9,23.683049352828963,1.0
planned_t5_close,no_cost_full_fill_1m,low_stock_ret_60d,validation,2024,96,1920,535294.416538855,0.027879917528065366,0.55,1.8679696007047117,1.0
planned_t5_close,strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,train,2018,92,1840,546325.0200633118,0.00593831543547078,0.5364130434782609,1.3460360993812086,0.9269954324999999
