group_id,strategy_id,regime_id,scenario_id,matched_day_count,random_runs,actual_cumulative_return,random_cumulative_return_mean,random_cumulative_return_median,random_cumulative_return_p05,random_cumulative_return_p95,random_cumulative_return_min,random_cumulative_return_max,actual_percentile_vs_random,random_max_drawdown_mean,random_max_drawdown_p05,random_max_drawdown_p95
S0_v7_original_top10__C4_tail_ret_median_Q5_high,S0_v7_original_top10,C4_tail_ret_median_Q5_high,10bp_slippage_plus_impact,12,1000,-0.0252263898263263,-0.0019087820663396227,-0.0031877437517539575,-0.06355360222295124,0.06715510331469414,-0.13278651406160202,0.12486712623084295,0.281,-0.039531672347818674,-0.07663374599802648,-0.011787602091355504
S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down,5bp_one_way_slippage,23,1000,0.1117537075617554,0.022821945872208822,0.021648141912533614,-0.05915751414684491,0.11166293220750079,-0.11381512950402028,0.18630267726061778,0.95,-0.05267491884158081,-0.097791942538874,-0.02073556435344615
S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down,10bp_one_way_slippage,23,1000,0.08646890122405004,0.0024880565001590155,0.00042172857594469093,-0.07836575260426172,0.08211493123524216,-0.13847791771829054,0.1484256340881609,0.958,-0.05895049331988156,-0.10639474402617938,-0.02528359013031488
S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down,10bp_slippage_plus_impact,23,1000,0.08163829025015468,-0.005935652783866612,-0.009727293054958674,-0.08335699071688728,0.07830307628067533,-0.13157434338232732,0.1252749132904365,0.957,-0.061213751587638726,-0.10845255134440175,-0.024187948372705957
S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down,5bp_one_way_slippage,29,1000,0.056402406613695666,0.031439333998012534,0.03012292491201185,-0.053943927752773464,0.1203668087645893,-0.13206399783896094,0.1975531750052879,0.696,-0.05888702548238415,-0.101873809665354,-0.025658966634220223
S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down,10bp_one_way_slippage,29,1000,0.026199201899614444,0.0006554341943911887,-0.00028443302533409653,-0.07941066073105259,0.08135692595657638,-0.164722745800289,0.1617983193517265,0.696,-0.06747326067526094,-0.1150402656949494,-0.031193648752191064
S0_v7_original_top10__R2_market_down,S0_v7_original_top10,R2_market_down,10bp_slippage_plus_impact,29,1000,0.02084143252120163,-0.005148079591872357,-0.008776408997674512,-0.08526345958130102,0.08361419552970978,-0.15144145825799182,0.162962041789674,0.712,-0.07030600623300248,-0.11908085660571967,-0.031494007076333604
S0_v7_original_top10__R3_low_tail_vol,S0_v7_original_top10,R3_low_tail_vol,5bp_one_way_slippage,29,1000,0.05183246463460889,0.02592647413320404,0.02408168441337133,-0.06137881902068531,0.11106852453490683,-0.13649085774490577,0.19224190462302926,0.703,-0.060713060291712556,-0.10302123901183934,-0.030384408841115856
S0_v7_original_top10__R3_low_tail_vol,S0_v7_original_top10,R3_low_tail_vol,10bp_one_way_slippage,29,1000,0.02175991741644201,-0.0018928298553762058,-0.003605150763714926,-0.083282752107819,0.0863364748626529,-0.13558960208482185,0.1971907302945275,0.69,-0.0682585890581345,-0.11925088746532264,-0.032969386134180656
S0_v7_original_top10__R3_low_tail_vol,S0_v7_original_top10,R3_low_tail_vol,10bp_slippage_plus_impact,29,1000,0.01589500795562504,-0.007216227537668636,-0.00628846930094723,-0.08874293383264978,0.07831677334306707,-0.14793358243902022,0.14451682851466519,0.684,-0.07081395611532199,-0.12017232688797791,-0.03429775153818738
