trade_date,scenario_id,daily_return,gate_active,selected_trade_count,group_id,strategy_id,regime_id
20260306,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260309,10bp_slippage_plus_impact,0.023710527469023156,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260310,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260311,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260312,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260313,10bp_slippage_plus_impact,-0.0030586504442988716,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260316,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260317,10bp_slippage_plus_impact,0.004755600645380642,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260318,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260319,10bp_slippage_plus_impact,0.00031166851134555306,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260320,10bp_slippage_plus_impact,-0.033128116696921006,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260323,10bp_slippage_plus_impact,0.020535868102504316,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260324,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260325,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260326,10bp_slippage_plus_impact,0.0007761085833058901,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260327,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260330,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260331,10bp_slippage_plus_impact,0.009856904750926775,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260401,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260402,10bp_slippage_plus_impact,-0.021260081516785222,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260403,10bp_slippage_plus_impact,0.011787021659927354,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260407,10bp_slippage_plus_impact,0.030104859907573923,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260408,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260409,10bp_slippage_plus_impact,0.01002869980333847,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260410,10bp_slippage_plus_impact,-0.0002468331889450504,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260413,10bp_slippage_plus_impact,0.009993900032787028,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260414,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260415,10bp_slippage_plus_impact,0.008752638935093471,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260416,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260417,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260420,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260421,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260422,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260423,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260424,10bp_slippage_plus_impact,-0.006724371177594024,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260427,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260428,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260429,10bp_slippage_plus_impact,0.007241410507147372,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260430,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260506,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260507,10bp_slippage_plus_impact,0.0,False,0,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
20260508,10bp_slippage_plus_impact,-0.0005320285721479689,True,10,S0_v7_original_top10__R1_tail_down,S0_v7_original_top10,R1_tail_down
