dimension_type,dimension_value,trade_count,cumulative_return_5bp,cumulative_return_10bp,cumulative_return_10bp_impact,mean_trade_return_5bp,mean_trade_return_10bp,mean_trade_return_10bp_impact,decay_5bp_to_10bp_sum,decay_10bp_to_impact_sum,decay_5bp_to_10bp_contribution,decay_10bp_to_impact_contribution,avg_participation
industry,电器仪表,6,-0.02124179279269367,-0.0251499872584946,-0.026002158811968212,-0.0020424234447918113,-0.0030401330908742343,-0.003263147181753171,0.0059862578764945384,0.0013380845452736212,0.010313049042083649,0.012567626560495026,0.007615984278136098
industry,塑料,8,0.14825381587929853,0.1391021384699458,0.1376780643840163,0.017799453827941417,0.01678190723406041,0.016622900899955814,0.008140372751048064,0.0012720506728367553,0.01402413078996208,0.011947419823886918,0.004530915921710834
industry,通信设备,6,0.11313261461664581,0.10647214465937327,0.10532408323437581,0.018228641572606657,0.01721066589760752,0.017035538744684997,0.00610785404999481,0.0010507629175351418,0.010522533385476545,0.009869029575031463,0.004513478033282151
industry,新型电力,7,0.015221262285816106,0.00914664850786262,0.008186973371256512,0.003674441456957817,0.002671016366259517,0.0025307678417564633,0.007023975634888102,0.0009817396715213755,0.012100816016870389,0.009220745889999582,0.004132730641764247
industry,影视音像,5,-0.045938962227869196,-0.04974854056948608,-0.05038766659429683,-0.008828439717125481,-0.009819365032838978,-0.010011106159889182,0.004954626578567489,0.0009587056352510226,0.008535767744088471,0.009004404428580566,0.007971470795324448
industry,出版业,5,0.016648160314159055,0.011576333659121696,0.010646898376918346,0.00369482167946904,0.002691376213611507,0.0025063964506542914,0.005017227329287666,0.0009248988147860793,0.00864361552237805,0.008686882268787421,0.00607549033112663
industry,铜,3,-0.054361553756657854,-0.05719492973714668,-0.05803943518655219,-0.018332601422486716,-0.019314024937688818,-0.019608246374805183,0.002944270545606309,0.0008826643113490906,0.005072351902718428,0.008290205191065492,0.017465709137883017
industry,商贸代理,3,0.004293391454879503,0.0022863074754726487,0.0018004301077161333,-0.00046400572789525213,-0.001463293399555754,-0.0017427989387856686,0.0029978630149815055,0.0008385166176897441,0.0051646803283151585,0.00787555894963211,0.015578415372946894
industry,化学制药,6,0.004925434898592984,-8.790974314532018e-05,-0.0006828569112244942,-0.0017736111486563177,-0.002771589540251677,-0.002891973631651797,0.005987870349572155,0.0007223045484007207,0.010315826990222803,0.0067840659690087055,0.003006751207267407
industry,矿物制品,4,-0.00407308568548026,-0.008049835025822016,-0.008756814843802418,-0.00043976487760449823,-0.001439076784092913,-0.0016187811940130137,0.003997247625953659,0.0007188176396804025,0.006886407443568496,0.0067513160453941765,0.012241513803079378
