scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,group_id,group_type,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99,min_filled_notional_return,regime_field,regime_value,regime_trade_days,regime_trade_count
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,0.053008779238527426,0.004376960080374092,0.55,0.5833333333333334,-0.016214765685813037,1.7214778012861511,0.5334815226451792,120,12,10.0,1.0,0,0,20260407,0.03030295219418422,20260327,-0.012036589442290968,0.022038010272597885,-0.002556133413067596,-0.020247838840850352,120,0,0,0,0,20260415,20260421,3,E_market_dispersion_proxy_qbucket_Q1_low,E_market_regime,0.0,0.0,0.0,-0.0502970563664108,market_dispersion_proxy_qbucket,Q1_low,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,0.05027660815738133,0.004159524297906505,0.5416666666666666,0.5833333333333334,-0.01655263832026388,1.6751645466003648,0.5334815226451792,120,12,10.0,1.0,0,0,20260407,0.030104859907573923,20260327,-0.012277949329020276,0.019582228018627967,-0.004448693477851928,-0.02162464467149683,120,0,0,0,0,20260415,20260421,3,E_market_dispersion_proxy_qbucket_Q1_low,E_market_regime,0.006862802077487317,0.019329343882241286,0.036801994491786595,-0.05037675484981452,market_dispersion_proxy_qbucket,Q1_low,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.007707671078148071,0.0007798310731601272,0.41818181818181815,0.45454545454545453,-0.027006804942227736,1.0774799531748616,0.47760683760683764,110,11,10.0,1.0,0,0,20260304,0.02061312507746139,20260227,-0.02153600746390133,-0.01264480505121246,-0.038072728097570785,-0.050104887798436804,110,0,0,0,0,20260304,20260402,6,E_market_dispersion_proxy_qbucket_Q2,E_market_regime,0.0,0.0,0.0,-0.0724135121371573,market_dispersion_proxy_qbucket,Q2,11,110
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.0033191288528855445,-0.00022070012628526016,0.41818181818181815,0.45454545454545453,-0.03186084689548263,0.9792507811968234,0.47760683760683764,110,11,10.0,1.0,0,0,20260304,0.01959276551135337,20260227,-0.02251422836890944,-0.022471613313917782,-0.045739367617482984,-0.055788620153685575,110,0,0,0,0,20260304,20260402,6,E_market_dispersion_proxy_qbucket_Q2,E_market_regime,0.0,0.0,0.0,-0.07334086817739194,market_dispersion_proxy_qbucket,Q2,11,110
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.004901962698240725,-0.00036510884902228645,0.41818181818181815,0.45454545454545453,-0.03266737929850094,0.9659518906009982,0.47760683760683764,110,11,10.0,1.0,0,0,20260304,0.019460740540002887,20260227,-0.022598285497357973,-0.023897637515044368,-0.046872047093254765,-0.05659728691331545,110,0,0,0,0,20260304,20260402,6,E_market_dispersion_proxy_qbucket_Q2,E_market_regime,0.002688322147767426,0.009907274187167745,0.021703206905231635,-0.073378862732145,market_dispersion_proxy_qbucket,Q2,11,110
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,0.0028467624638011113,0.00041291401495199137,0.4583333333333333,0.6666666666666666,-0.05640720850455494,1.0402651217299625,0.464055944055944,120,12,10.0,1.0,0,0,20260309,0.024920243361915295,20260306,-0.03382598351049495,-0.021536779121182237,-0.06076135632988999,-0.07845129191135147,120,0,0,0,0,20260305,20260401,7,E_market_dispersion_proxy_qbucket_Q3,E_market_regime,0.0,0.0,0.0,-0.053125564231065514,market_dispersion_proxy_qbucket,Q3,12,120
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.009118473907701485,-0.0005872503585912856,0.4583333333333333,0.5833333333333334,-0.06205323069196489,0.9455551985317332,0.464055944055944,120,12,10.0,1.0,0,0,20260309,0.023895577747574205,20260306,-0.03479191749275214,-0.03224357285330004,-0.06917868696728358,-0.08488121952437178,120,0,0,0,0,20260305,20260401,7,E_market_dispersion_proxy_qbucket_Q3,E_market_regime,0.0,0.0,0.0,-0.05407220342734931,market_dispersion_proxy_qbucket,Q3,12,120
10bp_slippage_plus_impact,10bp_one_way_slippage_plus_impact_cost,100000.0,,10,True,True,False,False,False,-0.011314113109305968,-0.0007720282850516317,0.4583333333333333,0.5833333333333334,-0.06318829924963532,0.9290245859204257,0.464055944055944,120,12,10.0,1.0,0,0,20260309,0.023710527469023156,20260306,-0.03496015667654036,-0.034213422289328776,-0.07074288934784212,-0.08591548270237148,120,0,0,0,0,20260305,20260401,7,E_market_dispersion_proxy_qbucket_Q3,E_market_regime,0.005282962790354587,0.014890216478715374,0.03378565418763819,-0.054212810740913,market_dispersion_proxy_qbucket,Q3,12,120
5bp_one_way_slippage,5bp_one_way_slippage,,,5,True,False,False,False,False,-0.012283263295627234,-0.0010829757326020568,0.38181818181818183,0.36363636363636365,-0.031850828256685726,0.8696589411135347,0.6051051051051051,110,11,10.0,1.0,0,0,20260323,0.02180388583340658,20260519,-0.011806357986547833,-0.033359776373556804,-0.04300381282924204,-0.04372597299681591,110,0,0,0,0,20260323,20260519,8,E_market_dispersion_proxy_qbucket_Q4,E_market_regime,0.0,0.0,0.0,-0.0520642529717964,market_dispersion_proxy_qbucket,Q4,11,110
10bp_one_way_slippage,10bp_one_way_slippage,,,10,True,False,False,False,False,-0.02309131324578828,-0.002081644588033459,0.37272727272727274,0.2727272727272727,-0.038605901578665724,0.7666478645549004,0.6051051051051051,110,11,10.0,1.0,0,0,20260323,0.0207823358023727,20260519,-0.012794306123819665,-0.04298041561786481,-0.05063115119803363,-0.05063115119803363,110,0,0,0,0,20260323,20260519,8,E_market_dispersion_proxy_qbucket_Q4,E_market_regime,0.0,0.0,0.0,-0.05301195321566954,market_dispersion_proxy_qbucket,Q4,11,110
