ts_code,name,industry,market,list_date,avg_amount,days,liquidity_rank,rank_start,rank_end
000876.SZ,新希望,饲料,主板,19980311,282867.8915166667,60,1799,20251120,20260213
002978.SZ,安宁股份,小金属,主板,20200417,282809.9838,60,1800,20251120,20260213
300927.SZ,江天化学,化工原料,创业板,20210107,282682.0520666667,60,1801,20251120,20260213
600361.SH,创新新材,铝,主板,20011129,282457.3507833333,60,1802,20251120,20260213
002782.SZ,可立克,元器件,主板,20151222,282227.8246666667,60,1803,20251120,20260213
002063.SZ,远光软件,软件服务,主板,20060823,282118.95406666666,60,1804,20251120,20260213
000672.SZ,上峰水泥,水泥,主板,19961218,282069.85003333335,60,1805,20251120,20260213
002645.SZ,华宏科技,专用机械,主板,20111220,281909.72668333334,60,1806,20251120,20260213
300609.SZ,汇纳科技,软件服务,创业板,20170215,281466.19986666663,60,1807,20251120,20260213
688401.SH,路维光电,半导体,科创板,20220817,281401.55935,60,1808,20251120,20260213
600968.SH,海油发展,石油开采,主板,20190626,281221.57893333334,60,1809,20251120,20260213
000750.SZ,国海证券,证券,主板,19970709,281189.2193833333,60,1810,20251120,20260213
002348.SZ,高乐股份,文教休闲,主板,20100203,281175.2046909091,55,1811,20251120,20260213
603042.SH,华脉科技,通信设备,主板,20170602,281018.5723,60,1812,20251120,20260213
603268.SH,松发股份,船舶,主板,20150319,280999.52715000004,60,1813,20251120,20260213
300654.SZ,世纪天鸿,出版业,创业板,20170926,280955.95286666666,60,1814,20251120,20260213
600773.SH,西藏城投,区域地产,主板,19961108,280872.5015833333,60,1815,20251120,20260213
603683.SH,晶华新材,化工原料,主板,20171020,280407.36005,60,1816,20251120,20260213
300180.SZ,华峰超纤,化纤,创业板,20110222,279740.3137666667,60,1817,20251120,20260213
300242.SZ,佳云科技,互联网,创业板,20110712,279632.68721666664,60,1818,20251120,20260213
688336.SH,三生国健,生物制药,科创板,20200722,279551.78396666667,60,1819,20251120,20260213
300264.SZ,佳创视讯,软件服务,创业板,20110916,279473.88711666665,60,1820,20251120,20260213
002828.SZ,贝肯能源,石油开采,主板,20161208,279454.06733333337,60,1821,20251120,20260213
300937.SZ,药易购,医药商业,创业板,20210127,279195.10109999997,60,1822,20251120,20260213
000062.SZ,深圳华强,元器件,主板,19970130,279135.8118833333,60,1823,20251120,20260213
300558.SZ,贝达药业,化学制药,创业板,20161107,279082.1074166667,60,1824,20251120,20260213
002698.SZ,博实股份,化工机械,主板,20120911,279077.3795,60,1825,20251120,20260213
300772.SZ,运达股份,电气设备,创业板,20190426,279076.9912666667,60,1826,20251120,20260213
300382.SZ,斯莱克,专用机械,创业板,20140129,278737.02856666665,60,1827,20251120,20260213
601702.SH,华峰铝业,铝,主板,20200907,278600.2952,60,1828,20251120,20260213
600018.SH,上港集团,港口,主板,20061026,278577.35918333335,60,1829,20251120,20260213
688719.SH,爱科赛博,电气设备,科创板,20230928,278519.0831,60,1830,20251120,20260213
002533.SZ,金杯电工,电气设备,主板,20101231,278516.71013333334,60,1831,20251120,20260213
301662.SZ,宏工科技,专用机械,创业板,20250417,278502.9185166667,60,1832,20251120,20260213
301207.SZ,华兰疫苗,生物制药,创业板,20220218,278454.7491,60,1833,20251120,20260213
600600.SH,青岛啤酒,啤酒,主板,19930827,278372.36116666667,60,1834,20251120,20260213
000882.SZ,华联股份,其他商业,主板,19980616,278339.09613333334,60,1835,20251120,20260213
002374.SZ,中锐股份,广告包装,主板,20100318,278314.79315,60,1836,20251120,20260213
688639.SH,华恒生物,化学制药,科创板,20210422,278233.67495,60,1837,20251120,20260213
002239.SZ,奥特佳,汽车配件,主板,20080522,278066.34516666667,60,1838,20251120,20260213
600158.SH,中体产业,文教休闲,主板,19980327,278051.58598333335,60,1839,20251120,20260213
605289.SH,罗曼股份,建筑工程,主板,20210426,278008.3587666667,60,1840,20251120,20260213
000788.SZ,北大医药,化学制药,主板,19970616,277806.8028666667,60,1841,20251120,20260213
301262.SZ,海看股份,影视音像,创业板,20230620,277585.29455,60,1842,20251120,20260213
688210.SH,统联精密,元器件,科创板,20211227,277548.0001333333,60,1843,20251120,20260213
003029.SZ,吉大正元,软件服务,主板,20201224,277523.16088333336,60,1844,20251120,20260213
601366.SH,利群股份,百货,主板,20170412,277429.6915666667,60,1845,20251120,20260213
301159.SZ,三维天地,软件服务,创业板,20220107,277343.56086666667,60,1846,20251120,20260213
002593.SZ,日上集团,钢加工,主板,20110628,277182.6599,60,1847,20251120,20260213
000728.SZ,国元证券,证券,主板,19970616,276945.4362,60,1848,20251120,20260213
300964.SZ,本川智能,元器件,创业板,20210805,276798.4876,60,1849,20251120,20260213
