universe,horizon,factor,year,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n
screened,3d,log_total_mv,2024,242,0.0007612716575136546,-0.0356884935959668,0.26404430938668333,0.04576812484135238,0.45867768595041325,5078.247933884298
screened,3d,stock_ret_1d,2025,243,-0.02028410314864462,-0.013561194186054787,0.13003548047325933,-2.476248434841535,0.4444444444444444,5119.77366255144
screened,3d,stock_ret_5d,2025,243,-0.0450758675687425,-0.033412374837051666,0.12535572856854982,-5.708213118580768,0.36213991769547327,5119.77366255144
screened,3d,stock_ret_20d,2025,243,-0.05648955504094872,-0.059260076469271845,0.13948865370860147,-6.428794471983462,0.3374485596707819,5119.77366255144
screened,3d,stock_ret_60d,2025,243,-0.04667525862929761,-0.03762801017024693,0.1309362727125935,-5.658834980760786,0.3662551440329218,5119.77366255144
screened,3d,stock_rel_industry_ret_1d,2025,243,-0.012370342428108,-0.003952573540714497,0.08122665410389066,-2.4175943272727025,0.4691358024691358,5119.77366255144
screened,3d,stock_rel_industry_ret_5d,2025,243,-0.03734834134207165,-0.027750397798236813,0.08158916560228896,-7.266731238817942,0.35390946502057613,5119.77366255144
screened,3d,stock_rel_industry_ret_20d,2025,243,-0.04382111231806294,-0.039239515636886574,0.09007838205830036,-7.72259199501066,0.2962962962962963,5119.77366255144
screened,3d,stock_rel_industry_ret_60d,2025,243,-0.0322286178959424,-0.03010321781814826,0.07848204981477393,-6.5188594018555674,0.3374485596707819,5119.77366255144
screened,3d,industry_ret_5d,2025,243,-0.018939407757735303,-0.0011612614410804038,0.1409992407362386,-2.1323077760206584,0.49794238683127573,5119.77366255144
screened,3d,industry_ret_20d,2025,243,-0.028842852066369048,-0.022445719631042815,0.14851141314679744,-3.08303632909375,0.42386831275720166,5119.77366255144
screened,3d,industry_ret_60d,2025,243,-0.02736934963060444,-0.010796373600811425,0.1608207492589455,-2.7016100721516447,0.48148148148148145,5119.77366255144
screened,3d,industry_breadth_20d,2025,243,-0.014697802863768839,-0.01302475964244284,0.12946957910975623,-1.8021251693551683,0.4567901234567901,5119.77366255144
screened,3d,industry_breadth_60d,2025,243,-0.0172174965329778,-0.015540719607497906,0.1441198839672449,-1.8964717194358516,0.4691358024691358,5119.77366255144
screened,3d,industry_amount_share,2025,243,0.002370311691057444,0.012612329261021708,0.18081724126592078,0.2080970339003482,0.5185185185185185,5119.77366255144
screened,3d,industry_amount_share_roll20d,2025,243,0.006897766613750178,0.016969923885229075,0.18342201338695513,0.5969766024728963,0.5349794238683128,5119.77366255144
screened,3d,industry_amount_share_roll60d,2025,243,0.008649339998563512,0.026480433034969414,0.18530106030676138,0.7409780366013743,0.5308641975308642,5119.77366255144
screened,3d,industry_crowding_score,2025,243,-0.02674387952887408,-0.02420583894774077,0.12712388896191396,-3.339623491899508,0.42386831275720166,5119.77366255144
screened,3d,stock_amount_share_in_industry,2025,243,-0.04554378601208583,-0.03701393825999442,0.12232900623191499,-5.910169726575482,0.38271604938271603,5119.77366255144
screened,3d,turnover_rate,2025,243,-0.047715317084902856,-0.05081544762779098,0.18094258901063842,-4.186174081807419,0.37037037037037035,5119.77366255144
screened,3d,log_amount,2025,243,-0.06519474195583595,-0.06912809208346936,0.14946539326478933,-6.9242412669503945,0.31275720164609055,5119.77366255144
screened,3d,log_total_mv,2025,243,-0.02488229085090266,-0.030828049933797216,0.17993677302965777,-2.195182870047874,0.4403292181069959,5119.77366255144
screened,3d,stock_ret_1d,2026,87,-0.008485117884467465,0.02546506655216743,0.13602412842414777,-0.9902439527801615,0.5402298850574713,5156.6781609195405
screened,3d,stock_ret_5d,2026,87,-0.0008236155380500521,0.012195844844061724,0.12353749845298835,-0.10583419205813044,0.5402298850574713,5156.6781609195405
screened,3d,stock_ret_20d,2026,87,0.013185202019991238,0.010778540946175457,0.12644562508174606,1.655324911802552,0.5287356321839081,5156.6781609195405
screened,3d,stock_ret_60d,2026,87,0.002000646096731173,0.013214173402606917,0.1247696043053829,0.2545433431261299,0.5287356321839081,5156.6781609195405
screened,3d,stock_rel_industry_ret_1d,2026,87,-0.011618270059975315,0.00046334391260939296,0.08155092168602612,-2.2615847331679655,0.5057471264367817,5156.6781609195405
screened,3d,stock_rel_industry_ret_5d,2026,87,-0.005087623491670308,0.0047835520646284,0.07480911297982779,-1.079594663306811,0.5287356321839081,5156.6781609195405
screened,3d,stock_rel_industry_ret_20d,2026,87,0.009151953282303291,0.00916519955327781,0.06384330464679439,2.2756145719037373,0.5977011494252874,5156.6781609195405
screened,3d,stock_rel_industry_ret_60d,2026,87,0.0006429384030177349,0.0026152498512588477,0.0737272684774728,0.13843359379882897,0.5287356321839081,5156.6781609195405
screened,3d,industry_ret_5d,2026,87,0.001473784798513261,0.02731569738471587,0.13800481427679184,0.16952747989238492,0.5402298850574713,5156.6781609195405
screened,3d,industry_ret_20d,2026,87,0.01257254501553336,0.018788336553973658,0.1601929883084184,1.2458907649899145,0.5172413793103449,5156.6781609195405
screened,3d,industry_ret_60d,2026,87,0.003738588743412262,0.017401866582526695,0.14583416095767063,0.40695716303200125,0.5517241379310345,5156.6781609195405
screened,3d,industry_breadth_20d,2026,87,0.014991009528752874,-0.0021172608617159084,0.14036285617304764,1.6954264481187857,0.4942528735632184,5156.6781609195405
screened,3d,industry_breadth_60d,2026,87,0.01796208945782775,0.0232401281148511,0.1395453087514242,2.0433458705729026,0.5862068965517241,5156.6781609195405
screened,3d,industry_amount_share,2026,87,0.024979480901560026,0.03393535420904119,0.16214269720310573,2.4456048462878086,0.5862068965517241,5156.6781609195405
screened,3d,industry_amount_share_roll20d,2026,87,0.029819159991201428,0.02983018177218806,0.1661665292684259,2.8487354940459846,0.5862068965517241,5156.6781609195405
screened,3d,industry_amount_share_roll60d,2026,87,0.03087492208156739,0.02350740336140092,0.16470313874596032,2.9758036014961213,0.5862068965517241,5156.6781609195405
screened,3d,industry_crowding_score,2026,87,0.00269657679853527,0.012256875064809438,0.1147074738697153,0.373182567417414,0.5632183908045977,5156.6781609195405
screened,3d,stock_amount_share_in_industry,2026,87,-0.027744399599421318,-0.02974160342639521,0.11243646377568291,-3.917133951916998,0.3793103448275862,5156.6781609195405
screened,3d,turnover_rate,2026,87,-0.011701325267448852,-0.011282910364170276,0.16016562915702895,-1.1597543179701877,0.47126436781609193,5156.6781609195405
screened,3d,log_amount,2026,87,-0.013390196148990861,0.003976934515115742,0.14301241274873847,-1.4863239491881286,0.5172413793103449,5156.6781609195405
screened,3d,log_total_mv,2026,87,-0.001257691920325861,-0.02289210772097046,0.13798340545689286,-0.14469305360739365,0.4482758620689655,5156.6781609195405
screened,5d,industry_amount_share,2018,243,-0.012302033256438472,-0.018724949556987846,0.09574275176894796,-2.039723322065945,0.43621399176954734,3184.8847736625517
screened,5d,stock_amount_share_in_industry,2018,243,-0.03679066961101996,-0.04280955675650949,0.11024161259674121,-5.297761529361607,0.36213991769547327,3184.8847736625517
screened,5d,turnover_rate,2018,243,-0.05040979748315916,-0.06773038318967285,0.1681327930530261,-4.759516047753008,0.3950617283950617,3184.8847736625517
screened,5d,log_amount,2018,243,-0.06421939020727795,-0.0755049365948118,0.12369873496795523,-8.241403724008485,0.25925925925925924,3184.8847736625517
screened,5d,log_total_mv,2018,243,-0.019818979945245785,-0.012912577540363058,0.16719628989833557,-1.881719703444886,0.4732510288065844,3184.8847736625517
screened,5d,stock_ret_1d,2018,242,-0.006561715631771433,0.0007610632349522258,0.12226242671375906,-0.8519707093449292,0.5041322314049587,3185.3429752066118
screened,5d,stock_rel_industry_ret_1d,2018,242,-0.0113782459504752,-0.005479257050172975,0.09203182165708498,-1.96262609599889,0.47107438016528924,3185.3429752066118
screened,5d,stock_ret_5d,2018,238,-0.020153303700015387,-0.01088737684213721,0.13021120078240694,-2.4569605087523074,0.4831932773109244,3184.6008403361343
screened,5d,stock_rel_industry_ret_5d,2018,238,-0.02676225507673403,-0.01916068603141491,0.10240892735488866,-4.148443301877862,0.42857142857142855,3184.6008403361343
screened,5d,industry_ret_5d,2018,238,-0.0009593805925910427,-0.0019351137280963367,0.10825683200749632,-0.14068114207232166,0.49159663865546216,3187.109243697479
screened,5d,industry_breadth_20d,2018,234,0.00028167856297754,0.0031223077624153587,0.0982481418140932,0.04551239831325016,0.5170940170940171,3188.82905982906
screened,5d,industry_amount_share_roll20d,2018,234,-0.01265272380607189,-0.01517581941154254,0.09916348956385257,-2.025501164532776,0.44871794871794873,3188.82905982906
screened,5d,stock_ret_20d,2018,223,-0.05278865633523917,-0.049848959183509164,0.14830536314132484,-5.650462818739955,0.3901345291479821,3180.2959641255607
screened,5d,stock_rel_industry_ret_20d,2018,223,-0.05319277556521816,-0.05052129110268938,0.11617281280108696,-7.26856063639308,0.3632286995515695,3180.2959641255607
screened,5d,industry_ret_20d,2018,223,-0.011954850689579447,-0.00816609724721897,0.11375870241566458,-1.6682448663996463,0.4663677130044843,3194.4887892376682
screened,5d,industry_breadth_60d,2018,214,-0.008655604395454888,-0.006517988988086535,0.08645078468452606,-1.5893836078573067,0.48130841121495327,3207.967289719626
screened,5d,industry_amount_share_roll60d,2018,214,-0.01046170554408893,-0.014784676639605785,0.1000217349265223,-1.6603833864456667,0.45794392523364486,3207.967289719626
screened,5d,stock_ret_60d,2018,183,-0.023341964450785197,-0.010969094933745044,0.13522925656722834,-2.7401037889069175,0.45901639344262296,3165.9781420765025
screened,5d,stock_rel_industry_ret_60d,2018,183,-0.02003953121661713,-0.011740493969769202,0.1112296184614954,-2.860008874767748,0.47540983606557374,3165.9781420765025
screened,5d,industry_ret_60d,2018,183,-0.005855903282726451,-0.0016371998597823566,0.0917032938361869,-1.0136994958163983,0.4918032786885246,3234.158469945355
screened,5d,industry_crowding_score,2018,183,-0.008422470889038094,-0.008825394794664201,0.06993459574563424,-1.911823167874705,0.4644808743169399,3234.158469945355
