universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status,direction_adjusted_mean_spread,abs_mean_ic,candidate_flag
screened,5d,industry_amount_share_roll20d,2018,-0.010429784848450686,-0.004122424685287975,0.1607490954751448,-1.0299759456317457,0.4861248761149653,4248.388503468781,industry_crowding,diagnostic_industry_snapshot,0.0010487975756111071,0.010429784848450686,False
screened,3d,industry_amount_share_roll20d,2020,-0.009966712503988279,-0.005380673411528569,0.15824162674457162,-0.9998421989302038,0.48415841584158414,4251.229207920792,industry_crowding,diagnostic_industry_snapshot,0.0007922311521706803,0.009966712503988279,False
screened,5d,stock_rel_industry_ret_1d,2026,-0.009808626905053233,-0.006594218087153681,0.08647427764762719,-1.8006178160541197,0.456071076011846,4243.7882527147085,relative_strength,diagnostic_industry_snapshot,0.0017413855516159077,0.009808626905053233,False
screened,3d,industry_ret_20d,2009,-0.009174524721002674,-0.006075893823884573,0.14292938975271915,-1.0189721309654804,0.4793429566948731,4257.539074166252,industry_strength,diagnostic_industry_snapshot,0.0010315337825645143,0.009174524721002674,False
screened,3d,industry_breadth_60d,2000,-0.009086190304774826,-0.0014507277691923354,0.14327809441173261,-1.0067051775140787,0.4935,4263.697,industry_breadth,diagnostic_industry_snapshot,0.00026910153508871926,0.009086190304774826,False
screened,10d,industry_amount_share_roll60d,1993,-0.008785212156314377,-0.0007114862236611314,0.1664374288955286,-0.8379180116440907,0.4992473657802308,4255.750627195183,industry_crowding,diagnostic_industry_snapshot,0.0021676404702577973,0.008785212156314377,False
screened,5d,stock_ret_1d,2026,-0.008673143248046095,-0.005858958431770565,0.13069333848650191,-1.0534728266325037,0.4817374136229023,4243.7882527147085,price_momentum_reversal,usable_after_t_close,0.00139522175108729,0.008673143248046095,False
screened,3d,industry_amount_share_roll60d,2000,-0.008281532344270112,-0.0033683392757966274,0.15796283703671452,-0.8322542998787934,0.489,4263.697,industry_crowding,diagnostic_industry_snapshot,0.0007975113806571808,0.008281532344270112,False
screened,5d,industry_amount_share_roll60d,1998,-0.008226251487535115,-0.0027737953383669195,0.1609055497156523,-0.811579800575737,0.494994994994995,4261.044544544545,industry_crowding,diagnostic_industry_snapshot,0.0012017731881092196,0.008226251487535115,False
screened,3d,stock_rel_industry_ret_1d,2028,-0.007574796380604775,-0.0037297818509424655,0.0910654038944222,-1.320437395408725,0.4822485207100592,4246.660256410257,relative_strength,diagnostic_industry_snapshot,0.0006601157690775422,0.007574796380604775,False
screened,3d,stock_ret_1d,2028,-0.007385414276407681,-0.005461920916616205,0.132972569890056,-0.8816842234778232,0.482741617357002,4246.660256410257,price_momentum_reversal,usable_after_t_close,0.0004407731251756641,0.007385414276407681,False
screened,10d,industry_breadth_20d,2013,-0.006093858246503561,-0.0034568309184620167,0.1334753013873317,-0.7247558137370335,0.4898161947342275,4242.697466467958,industry_breadth,diagnostic_industry_snapshot,0.0024329146103253853,0.006093858246503561,False
screened,10d,stock_rel_industry_ret_1d,2021,-0.005271770463689384,-0.00238881861284223,0.08123667890991848,-1.0301598098123264,0.48787728847105394,4238.019792182088,relative_strength,diagnostic_industry_snapshot,0.0016408083830170954,0.005271770463689384,False
screened,5d,industry_breadth_20d,2018,-0.004734603055656192,-0.0012656188325787237,0.13257965108407635,-0.5669006731928551,0.4965312190287413,4248.388503468781,industry_breadth,diagnostic_industry_snapshot,0.0017583549615680192,0.004734603055656192,False
screened,3d,industry_ret_5d,2024,-0.004280867152169565,-0.0014066543578490145,0.13419759429690048,-0.5063925298968297,0.4945652173913043,4248.951581027668,industry_strength,diagnostic_industry_snapshot,0.0008095362694034024,0.004280867152169565,False
screened,3d,industry_breadth_20d,2020,-0.004050153680852603,-0.0022409863268819446,0.13365669546680906,-0.48103984796436394,0.49455445544554455,4251.229207920792,industry_breadth,diagnostic_industry_snapshot,0.0013598053006318625,0.004050153680852603,False
screened,10d,stock_ret_1d,2021,-0.0038783316906383365,0.0003096655197434363,0.12513875731581087,-0.49198672139698196,0.5022266204849085,4238.019792182088,price_momentum_reversal,usable_after_t_close,0.0010155983335237452,0.0038783316906383365,False
screened,5d,industry_ret_5d,2022,-0.0032461311299866904,0.000866561476917617,0.1332139302866886,-0.3868269185317207,0.5024727992087042,4246.090009891197,industry_strength,diagnostic_industry_snapshot,0.001225516393699098,0.0032461311299866904,False
screened,10d,industry_ret_5d,2017,-0.0027434207679245862,0.0034531985901333846,0.1331134280398366,-0.3271680040288388,0.510659395141299,4240.360932077343,industry_strength,diagnostic_industry_snapshot,0.0013292036969872732,0.0027434207679245862,False
