universe,horizon,factor,decile,days,observations,mean_daily_return,median_daily_return,positive_daily_rate
screened,5d,stock_rel_industry_ret_60d,5,1967,840896,0.0038025706022740383,0.004569741688019535,0.5653279105236401
screened,5d,stock_rel_industry_ret_60d,6,1967,840319,0.003393860205030416,0.00426213073429861,0.5653279105236401
screened,5d,stock_rel_industry_ret_60d,7,1967,840524,0.0033457460389720133,0.004230706249642395,0.5638027452974073
screened,5d,stock_rel_industry_ret_60d,8,1967,840718,0.0032962966375099803,0.004172303447807472,0.559735638027453
screened,5d,stock_rel_industry_ret_60d,9,1967,840521,0.0030886438962769904,0.0035578828183025282,0.5516014234875445
screened,5d,stock_rel_industry_ret_60d,10,1967,841507,0.0014397764212413409,0.0017150751002620798,0.5236400610066091
screened,5d,industry_ret_5d,1,2022,856822,0.0020975225304373088,0.0014014422575652774,0.5192878338278932
screened,5d,industry_ret_5d,2,2022,860721,0.0028558770605568687,0.002794496097386102,0.5341246290801187
screened,5d,industry_ret_5d,3,2022,859519,0.0029153957190604044,0.0029477541581602964,0.5326409495548962
screened,5d,industry_ret_5d,4,2022,857147,0.0033540043984581964,0.004029252898428475,0.5509396636993076
screened,5d,industry_ret_5d,5,2022,858051,0.0037330358220874944,0.004517164973684509,0.5603363006923838
screened,5d,industry_ret_5d,6,2022,858227,0.0035150586163981245,0.0036038586478477058,0.5504451038575667
screened,5d,industry_ret_5d,7,2022,861277,0.003930226800210941,0.004165076619238869,0.559841740850643
screened,5d,industry_ret_5d,8,2022,859788,0.004048646736136557,0.004448225755717895,0.5603363006923838
screened,5d,industry_ret_5d,9,2022,854847,0.003925728786032121,0.0040040210389715985,0.5563798219584569
screened,5d,industry_ret_5d,10,2022,859195,0.0033230389241364067,0.0041153988207808375,0.5539070227497527
screened,5d,industry_ret_20d,1,2007,852546,0.0022627394805608894,0.0038026765167533997,0.5480817140009965
screened,5d,industry_ret_20d,2,2007,854518,0.0027445888383111424,0.0024188156129246585,0.536123567513702
screened,5d,industry_ret_20d,3,2007,851769,0.00312813966591982,0.0034993785349789488,0.5495764823119084
screened,5d,industry_ret_20d,4,2007,857933,0.0033419541179594853,0.002952108517877763,0.5495764823119084
screened,5d,industry_ret_20d,5,2007,849057,0.003940151111600013,0.003923711514025385,0.5500747384155455
screened,5d,industry_ret_20d,6,2007,858754,0.004163247373567401,0.003956866426577297,0.5515695067264574
screened,5d,industry_ret_20d,7,2007,854963,0.004316517053913443,0.004864434508401701,0.5565520677628301
screened,5d,industry_ret_20d,8,2007,854006,0.0040807290898089,0.0036056940860239957,0.5460886895864474
screened,5d,industry_ret_20d,9,2007,850465,0.004051146477849539,0.003783792216276871,0.5535625311410065
screened,5d,industry_ret_20d,10,2007,855422,0.003494585714396988,0.003409732241442207,0.5450921773791729
