universe,horizon,factor,ic_days,mean_ic,median_ic,std_ic,icir,positive_ic_rate,mean_group_n,factor_group,point_in_time_status
all_valid,5d,stock_rel_industry_ret_60d,1967,-0.03414895005806575,-0.031856806562262904,0.10968035473128192,-4.942523915552478,0.37671581087951195,4529.269954245044,relative_strength,diagnostic_industry_snapshot
all_valid,5d,industry_ret_60d,1967,-0.01830598770234367,-0.009808695716809092,0.13842167072890454,-2.0993717548170503,0.4743263853584138,4600.412811387901,industry_strength,diagnostic_industry_snapshot
all_valid,5d,industry_crowding_score,1967,-0.019714603107443763,-0.016059732485681176,0.11768237414116917,-2.659358501183915,0.43924758515505846,4600.412811387901,industry_crowding,diagnostic_industry_snapshot
all_valid,10d,industry_amount_share,2022,-0.01408458773111005,-0.00710159388103935,0.1589732024653472,-1.4064376590832595,0.480217606330366,4552.11918892186,industry_crowding,diagnostic_industry_snapshot
all_valid,10d,stock_amount_share_in_industry,2022,-0.05199153505920638,-0.053240263546289565,0.1183387061253988,-6.974387833921013,0.3273986152324431,4552.11918892186,liquidity_crowding,usable_after_t_close
all_valid,10d,turnover_rate,2022,-0.07592002555468254,-0.08429184459618017,0.16373438175700716,-7.360659563076611,0.3283877349159248,4530.52818991098,liquidity,usable_after_t_close
all_valid,10d,log_amount,2022,-0.08569244731183213,-0.09384157798820214,0.14389560331948348,-9.453557979262394,0.27002967359050445,4552.11918892186,liquidity,usable_after_t_close
all_valid,10d,log_total_mv,2022,-0.03251654220148665,-0.04200215517028119,0.1747591749177091,-2.9536881551900436,0.3951533135509397,4530.52818991098,size,usable_after_t_close
all_valid,10d,stock_ret_1d,2021,-0.00964591224336173,-0.006653424039097027,0.11945919300176229,-1.2818110179554851,0.4735279564571994,4551.643245917862,price_momentum_reversal,usable_after_t_close
all_valid,10d,stock_rel_industry_ret_1d,2021,-0.011107465546490414,-0.008396946265782012,0.0784881027600875,-2.2465258171975484,0.4487877288471054,4551.643245917862,relative_strength,diagnostic_industry_snapshot
all_valid,10d,stock_ret_5d,2017,-0.0276864043515139,-0.018430892239614728,0.12523232056045633,-3.5095416399149113,0.42736737729300944,4549.742191373327,price_momentum_reversal,usable_after_t_close
all_valid,10d,stock_rel_industry_ret_5d,2017,-0.028317477133402647,-0.02336626965605303,0.08940506211969021,-5.027970484586778,0.368368864650471,4549.742191373327,relative_strength,diagnostic_industry_snapshot
all_valid,10d,industry_ret_5d,2017,-0.003950081587260177,0.001828768473162518,0.12805757879048374,-0.4896672404874024,0.5061973227565691,4555.397620228062,industry_strength,diagnostic_industry_snapshot
all_valid,10d,industry_breadth_20d,2013,-0.006131554044043915,-0.0019514478340389137,0.12854849889105688,-0.7571881721298506,0.4932935916542474,4558.021857923497,industry_breadth,diagnostic_industry_snapshot
all_valid,10d,industry_amount_share_roll20d,2013,-0.011906992487761756,-0.0023352315074115395,0.16031373496704232,-1.1790483575898851,0.49279682066567315,4558.021857923497,industry_crowding,diagnostic_industry_snapshot
all_valid,10d,stock_ret_20d,2002,-0.05378462232773806,-0.04570071995565178,0.13744077405362742,-6.212162410400998,0.35514485514485516,4542.931068931069,price_momentum,usable_after_t_close
all_valid,10d,stock_rel_industry_ret_20d,2002,-0.049619246731826466,-0.043117936817441714,0.10110104698597687,-7.791028342939498,0.2987012987012987,4542.931068931069,relative_strength,diagnostic_industry_snapshot
all_valid,10d,industry_ret_20d,2002,-0.01667846241691243,-0.009422244773674145,0.13406248173588012,-1.974917810026376,0.47152847152847155,4565.663836163836,industry_strength,diagnostic_industry_snapshot
all_valid,10d,industry_breadth_60d,1993,-0.016755174441293746,-0.013376412478985685,0.13502511583693275,-1.969856843464828,0.44856999498243855,4572.1214249874565,industry_breadth,diagnostic_industry_snapshot
all_valid,10d,industry_amount_share_roll60d,1993,-0.009063856863602168,-0.0022430447493541296,0.1604003430613082,-0.8970321654865034,0.49523331660812847,4572.1214249874565,industry_crowding,diagnostic_industry_snapshot
all_valid,10d,stock_ret_60d,1962,-0.05202050356695988,-0.0512837250190188,0.14540561697199955,-5.679284681596368,0.3562691131498471,4522.8063200815495,price_momentum,usable_after_t_close
all_valid,10d,stock_rel_industry_ret_60d,1962,-0.04159108917906323,-0.041069575976205044,0.10704637065461553,-6.167776341291563,0.3532110091743119,4522.8063200815495,relative_strength,diagnostic_industry_snapshot
all_valid,10d,industry_ret_60d,1962,-0.02443213877028328,-0.01947844349615252,0.13370905626432444,-2.900687432381629,0.4383282364933741,4593.754332313965,industry_strength,diagnostic_industry_snapshot
all_valid,10d,industry_crowding_score,1962,-0.026048435069346967,-0.02730451803186197,0.11937131209739102,-3.4640323554294854,0.4164118246687054,4593.754332313965,industry_crowding,diagnostic_industry_snapshot
screened,3d,industry_amount_share,2029,-0.01157785339886488,-0.009510696188014693,0.15605405628959215,-1.1777503848736557,0.4785608674223756,4246.087235091178,industry_crowding,diagnostic_industry_snapshot
screened,3d,stock_amount_share_in_industry,2029,-0.02571860673104594,-0.028145545592684586,0.12262152328676536,-3.3295151937537653,0.40611138491867915,4246.087235091178,liquidity_crowding,usable_after_t_close
screened,3d,turnover_rate,2029,-0.0435075162103312,-0.04705009673640631,0.17047978218832716,-4.051274582020062,0.38984721537703304,4241.163134549039,liquidity,usable_after_t_close
screened,3d,log_amount,2029,-0.04913865959051971,-0.05676381999378827,0.14349602453662372,-5.43605330344435,0.354361754558896,4246.087235091178,liquidity,usable_after_t_close
screened,3d,log_total_mv,2029,-0.01903442096526503,-0.024741322743378164,0.17492792575779476,-1.7273517880936025,0.43863972400197143,4241.163134549039,size,usable_after_t_close
screened,3d,stock_ret_1d,2028,-0.007385414276407681,-0.005461920916616205,0.132972569890056,-0.8816842234778232,0.482741617357002,4246.660256410257,price_momentum_reversal,usable_after_t_close
screened,3d,stock_rel_industry_ret_1d,2028,-0.007574796380604775,-0.0037297818509424655,0.0910654038944222,-1.320437395408725,0.4822485207100592,4246.660256410257,relative_strength,diagnostic_industry_snapshot
screened,3d,stock_ret_5d,2024,-0.022573267166472514,-0.016391392178693592,0.14185708637843855,-2.5260599688920515,0.441699604743083,4248.65266798419,price_momentum_reversal,usable_after_t_close
screened,3d,stock_rel_industry_ret_5d,2024,-0.022343911068394555,-0.018576487470546507,0.10189627521550414,-3.480977015802866,0.4189723320158103,4248.65266798419,relative_strength,diagnostic_industry_snapshot
screened,3d,industry_ret_5d,2024,-0.004280867152169565,-0.0014066543578490145,0.13419759429690048,-0.5063925298968297,0.4945652173913043,4248.951581027668,industry_strength,diagnostic_industry_snapshot
screened,3d,industry_breadth_20d,2020,-0.004050153680852603,-0.0022409863268819446,0.13365669546680906,-0.48103984796436394,0.49455445544554455,4251.229207920792,industry_breadth,diagnostic_industry_snapshot
screened,3d,industry_amount_share_roll20d,2020,-0.009966712503988279,-0.005380673411528569,0.15824162674457162,-0.9998421989302038,0.48415841584158414,4251.229207920792,industry_crowding,diagnostic_industry_snapshot
screened,3d,stock_ret_20d,2009,-0.03299899375436742,-0.02881071323085593,0.1511232373147569,-3.4663285093974543,0.4116475858636137,4255.938277750124,price_momentum,usable_after_t_close
screened,3d,stock_rel_industry_ret_20d,2009,-0.03037557936729157,-0.028032806299056134,0.10781572394682759,-4.4724216093930655,0.3782976605276257,4255.938277750124,relative_strength,diagnostic_industry_snapshot
screened,3d,industry_ret_20d,2009,-0.009174524721002674,-0.006075893823884573,0.14292938975271915,-1.0189721309654804,0.4793429566948731,4257.539074166252,industry_strength,diagnostic_industry_snapshot
screened,3d,industry_breadth_60d,2000,-0.009086190304774826,-0.0014507277691923354,0.14327809441173261,-1.0067051775140787,0.4935,4263.697,industry_breadth,diagnostic_industry_snapshot
