trade_date,experiment_id,filter_id,ref_method,capital,order_notional,threshold,candidates_before_filter,candidates_after_filter,filtered_removed_count,selected_count,below_top10
20260312,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2958,2958,0,10,False
20260313,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2947,2947,0,10,False
20260316,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2954,2954,0,10,False
20260317,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2966,2966,0,10,False
20260318,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2957,2957,0,10,False
20260319,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2973,2973,0,10,False
20260320,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2974,2974,0,10,False
20260323,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2905,2905,0,10,False
20260324,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2947,2947,0,10,False
20260325,F1_order_lte_10pct_ref_amount_B_tail_and_past20_exit_proxy_capital_100000,F1_order_lte_10pct_ref_amount,B_tail_and_past20_exit_proxy,100000,10000.0,0.1,2945,2945,0,10,False
