ts_code,trade_date,split,target_return,extreme_side,primary_attribution,dirty_event_removed_by_event_clean,from_repaired_daily_sample,entry_daily_source,exit_daily_source,minute_daily_close_mismatch,daily_minute_close_diff_pct,exit_bar_amount,exit_amount_zero,exit_amount_lt_10k,entry_bar_amount,entry_amount_lt_10k,suspect_resume_gap,prev_trade_gap_calendar_days,exright_or_adjustment_evidence,is_new_stock_180d,is_subnew_365d,special_limit_board,is_st,name,industry,market,list_date
300465.SZ,20241211,train,0.20379909201029944,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,21118674.0,False,False,12040802.0,False,False,1,unknown,False,False,True,False,高伟达,软件服务,创业板,20150528
301076.SZ,20250709,train,-0.25015592039519596,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,15098999.0,False,False,5125275.0,False,False,1,unknown,False,False,True,False,新瀚新材,化工原料,创业板,20211011
301076.SZ,20260515,legacy_validation,-0.25954556962446684,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,20531264.0,False,False,8992543.0,False,False,1,unknown,False,False,True,False,新瀚新材,化工原料,创业板,20211011
300697.SZ,20250609,train,-0.24463806822042744,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,4347675.5,False,False,3890066.0,False,False,3,unknown,False,False,True,False,电工合金,铜,创业板,20170907
605133.SH,20250710,train,-0.21918996055433948,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,14359173.0,False,False,11077534.0,False,False,1,unknown,False,False,False,False,嵘泰股份,汽车配件,主板,20210224
001212.SZ,20250528,train,-0.272236063689163,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,51299204.0,False,False,28631080.0,False,False,1,unknown,False,False,False,False,中旗新材,其他建材,主板,20210823
301026.SZ,20250603,train,-0.28469563884729154,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,6344884.0,False,False,3579680.0,False,False,4,unknown,False,False,True,False,浩通科技,小金属,创业板,20210716
001298.SZ,20250527,train,-0.3104202904677743,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,17677560.0,False,False,9212493.0,False,False,1,unknown,False,False,False,False,好上好,元器件,主板,20221031
001298.SZ,20260416,legacy_validation,-0.3052559968297123,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,16753721.0,False,False,8128655.0,False,False,1,unknown,False,False,False,False,好上好,元器件,主板,20221031
300640.SZ,20251209,train,0.20608075898454592,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,37323064.0,False,False,20324778.0,False,False,1,unknown,False,False,True,False,德艺文创,家居用品,创业板,20170417
300941.SZ,20240904,train,0.20716606943669857,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,8171328.0,False,False,1352836.0,False,False,1,unknown,False,False,True,False,创识科技,IT设备,创业板,20210209
301307.SZ,20241106,train,0.20091080995386212,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,63772540.0,False,False,19087840.0,False,False,1,unknown,False,False,True,False,美利信,通信设备,创业板,20230424
000999.SZ,20240613,train,-0.2569090531688417,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,23388786.0,False,False,15679162.0,False,False,1,unknown,False,False,False,False,华润三九,中成药,主板,20000309
000999.SZ,20250605,train,-0.23811090892252307,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,13147827.0,False,False,8091310.5,False,False,1,unknown,False,False,False,False,华润三九,中成药,主板,20000309
300304.SZ,20250808,train,0.2009285122130593,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,59731630.0,False,False,12068368.0,False,False,1,unknown,False,False,True,False,云意电气,汽车配件,创业板,20120321
002965.SZ,20250528,train,-0.23609313584861846,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,15265779.0,False,False,17568088.0,False,False,1,unknown,False,False,False,False,祥鑫科技,汽车配件,主板,20191025
688209.SH,20240930,train,0.20443162846618823,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,18909824.0,False,False,3208983.0,False,False,3,unknown,False,False,True,False,英集芯,半导体,科创板,20220419
300710.SZ,20240726,train,0.2000592313090519,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,888536.0,False,False,1695451.0,False,False,1,unknown,False,False,True,False,万隆光电,通信设备,创业板,20171019
688700.SH,20240612,train,-0.23806761788468744,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,6067187.0,False,False,1934139.0,False,False,1,unknown,False,False,True,False,东威科技,专用机械,科创板,20210615
688300.SH,20250528,train,-0.2348599677441514,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,1758633.0,False,False,657403.0,False,False,1,unknown,False,False,True,False,联瑞新材,矿物制品,科创板,20191115
300663.SZ,20260430,legacy_validation,-0.20113697553930487,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,3334500.0,False,False,2314856.0,False,False,1,unknown,False,False,True,False,科蓝软件,软件服务,创业板,20170608
688257.SH,20250529,train,-0.30123707098649466,negative,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,789762.0,False,False,1316404.0,False,False,1,unknown,False,False,True,False,新锐股份,机械基件,科创板,20211027
001311.SZ,20250609,train,-0.25924713571270774,negative,unknown,False,False,raw_daily,raw_daily,False,0.0,5103616.5,False,False,3934755.8,False,False,3,unknown,False,False,False,False,多利科技,汽车配件,主板,20230227
300927.SZ,20240918,train,0.2130139105935509,positive,special_20pct_limit_board,False,False,raw_daily,raw_daily,False,0.0,697248.0,False,False,2638559.0,False,False,5,unknown,False,False,True,False,江天化学,化工原料,创业板,20210107
