scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days,single_ticket_participation_median,single_ticket_participation_p90,single_ticket_participation_p99
capacity_300000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,15,True,True,True,True,True,-0.09991960112898224,-0.0017320758624364571,0.4224137931034483,0.3793103448275862,-0.11816981881336985,0.8206352340025981,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.027533618276035177,20260306,-0.03571911283915783,-0.12403800434175127,-0.16117526396594284,-0.1911690699203833,465,115,0,0,0,20260224,20260519,57,0.015241557082630116,0.03,0.030000000000000002
capacity_300000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,20,True,True,True,True,True,-0.14688827178521735,-0.002653972031886076,0.41206896551724137,0.3620689655172414,-0.1626929694065865,0.7398242127948697,0.5274665946821433,580,58,10.0,0.9238565982520663,115,0,20260407,0.026554432587290854,20260306,-0.0366748526484164,-0.16895616916812628,-0.20261991762029652,-0.22963403210484756,465,115,0,0,0,20260224,20260519,57,0.015241557082630116,0.03,0.030000000000000002
capacity_300000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,5,True,True,True,True,True,0.020170678103194728,0.0004298499241905469,0.44310344827586207,0.4827586206896552,-0.06487860710894644,1.0492402395220026,0.5274665946821433,580,58,10.0,0.9705161268099538,53,0,20260407,0.03057305182468084,20260306,-0.034117687087526806,-0.010093776179250447,-0.056286198566591006,-0.09406806914613874,527,53,0,0,0,20260225,20260320,18,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,10,True,True,True,True,True,-0.03568445227430994,-0.0005408539833922842,0.43275862068965515,0.41379310344827586,-0.08021894757519954,0.9416892730882912,0.5274665946821433,580,58,10.0,0.9705161268099538,53,0,20260407,0.029556225484567135,20260306,-0.035083292203650265,-0.06336776578488568,-0.1052861763391918,-0.13940796773489694,527,53,0,0,0,20260225,20260320,18,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,15,True,True,True,True,True,-0.08848012739889277,-0.0015105890295503506,0.4224137931034483,0.39655172413793105,-0.10827491188387905,0.8463581121175623,0.5274665946821433,580,58,10.0,0.9705161268099538,53,0,20260407,0.028540413985557945,20260306,-0.036047933584263545,-0.11377340140772896,-0.151740709087556,-0.18247752282278928,527,53,0,0,0,20260225,20260519,56,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,20,True,True,True,True,True,-0.13838402507757086,-0.0024793566640935656,0.4086206896551724,0.3793103448275862,-0.1546985102994063,0.7615044334388809,0.5274665946821433,580,58,10.0,0.9705161268099538,53,0,20260407,0.027525615809121374,20260306,-0.03701161267145105,-0.1614652115081796,-0.1957821122267669,-0.22339049729770155,527,53,0,0,0,20260225,20260519,56,0.015241557082630116,0.04581415803704945,0.05000000000000001
capacity_300000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,5,True,True,True,True,True,0.03236919327102572,0.0006364695456556462,0.44310344827586207,0.5,-0.06500816303937729,1.0725689600756794,0.5274665946821433,580,58,10.0,0.9945489205171298,11,0,20260407,0.030990568741486202,20260306,-0.034117687087526806,0.001337184423736426,-0.045388645823621565,-0.08403905557366975,569,11,0,0,0,20260305,20260320,12,0.015241557082630116,0.04581415803704945,0.1
capacity_300000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,10,True,True,True,True,True,-0.02551045689150755,-0.00035847001721540613,0.43275862068965515,0.43103448275862066,-0.07990912319917742,0.9615468643304079,0.5274665946821433,580,58,10.0,0.9945489205171298,11,0,20260407,0.029959879096123677,20260306,-0.035083292203650265,-0.05385679298140322,-0.09620086138537964,-0.13105740947655076,569,11,0,0,0,20260225,20260320,18,0.015241557082630116,0.04581415803704945,0.1
capacity_300000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,15,True,True,True,True,True,-0.08014490108897432,-0.0013524165330650417,0.4224137931034483,0.39655172413793105,-0.10081892518006097,0.8631966368706765,0.5274665946821433,580,58,10.0,0.9945489205171298,11,0,20260407,0.028930218123741212,20260306,-0.036047933584263545,-0.10600827664641277,-0.14430825418906357,-0.17566202697997968,569,11,0,0,0,20260225,20260519,56,0.015241557082630116,0.04581415803704945,0.1
capacity_300000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,20,True,True,True,True,True,-0.1317161275810771,-0.0023453714878885804,0.4086206896551724,0.3793103448275862,-0.1487266160253523,0.7757473979023596,0.5274665946821433,580,58,10.0,0.9945489205171298,11,0,20260407,0.027901584285116486,20260306,-0.03701161267145105,-0.15528501396094652,-0.1898548382654851,-0.2179768492818035,569,11,0,0,0,20260225,20260519,56,0.015241557082630116,0.04581415803704945,0.1
