trade_date,universe_id,v7_top10_count,retained_count,removed_count,retention_ratio,removed_codes
20260324,U3_internal_roll_top2000_60d,10,1,9,0.1,"001379.SZ,002098.SZ,300978.SZ,301077.SZ,301567.SZ,600622.SH,605398.SH,688478.SH,688651.SH"
20260325,U3_internal_roll_top2000_60d,10,1,9,0.1,"300478.SZ,301096.SZ,301161.SZ,301181.SZ,301321.SZ,605167.SH,605398.SH,688291.SH,688607.SH"
20260326,U3_internal_roll_top2000_60d,10,2,8,0.2,"002513.SZ,300542.SZ,301010.SZ,301159.SZ,301321.SZ,688648.SH,688682.SH,688767.SH"
20260327,U3_internal_roll_top2000_60d,10,1,9,0.1,"001233.SZ,002983.SZ,003033.SZ,300810.SZ,300909.SZ,603315.SH,688435.SH,688478.SH,688625.SH"
20260330,U3_internal_roll_top2000_60d,10,6,4,0.6,"001216.SZ,300632.SZ,301159.SZ,688118.SH"
20260331,U3_internal_roll_top2000_60d,10,1,9,0.1,"002574.SZ,002712.SZ,300306.SZ,300771.SZ,300862.SZ,300937.SZ,603130.SH,688399.SH,688478.SH"
20260401,U3_internal_roll_top2000_60d,10,2,8,0.2,"002513.SZ,300518.SZ,301259.SZ,603355.SH,603815.SH,605167.SH,688448.SH,688651.SH"
20260402,U3_internal_roll_top2000_60d,10,2,8,0.2,"002513.SZ,002836.SZ,300686.SZ,301001.SZ,301067.SZ,301162.SZ,301398.SZ,688125.SH"
20260403,U3_internal_roll_top2000_60d,10,0,10,0.0,"000935.SZ,003016.SZ,301043.SZ,301067.SZ,301181.SZ,600191.SH,603536.SH,603666.SH,688399.SH,688500.SH"
20260407,U3_internal_roll_top2000_60d,10,2,8,0.2,"300948.SZ,300982.SZ,301043.SZ,301160.SZ,301595.SZ,603315.SH,688399.SH,688500.SH"
20260408,U3_internal_roll_top2000_60d,10,7,3,0.7,"001216.SZ,301067.SZ,603040.SH"
20260409,U3_internal_roll_top2000_60d,10,5,5,0.5,"000659.SZ,002836.SZ,300640.SZ,688109.SH,688227.SH"
20260410,U3_internal_roll_top2000_60d,10,4,6,0.4,"002836.SZ,301595.SZ,603817.SH,605288.SH,688109.SH,688339.SH"
