rule_id,split,remove_top_winning_days,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_total_mv,train,5,1210,24200,20.0,1.3457373766160594,0.0016445891746081956,0.003371141528685467,0.5371900826446281,0.49272727272727274,1.1055870913281036,1.0806521000279408,-0.9275075022595745,0.0016445891746081963,0.14733131629150203,-0.1755705309859769
low_log_total_mv,train,10,1205,24100,20.0,0.2574248511401376,0.0011001921674151736,0.0031439159680977324,0.5352697095435685,0.49062240663900414,1.0703434435034822,1.053731439803784,-0.9506654735761431,0.0011001921674151738,0.12021614832830689,-0.1755705309859769
low_log_total_mv,train,20,1195,23900,20.0,-0.5634192062419954,0.00017550637331731995,0.0029335059406768948,0.5313807531380753,0.48635983263598326,1.0111283000267013,1.0085002887720953,-0.9553727958971616,0.00017550637331731957,0.09962192276242463,-0.1755705309859769
low_stock_amount_share_in_industry,train,0,1215,24300,20.0,80.30283547215751,0.004344755410111012,0.0035711664081501003,0.5440329218106996,0.5038271604938271,1.3825285107722294,1.2644549877701925,-0.876955796397468,0.004344755410111011,0.2977717981103513,-0.15604899731638416
low_stock_amount_share_in_industry,train,1,1214,24280,20.0,61.64802147075488,0.004103052739023499,0.003567346551345954,0.5436573311367381,0.5034184514003295,1.360950780373036,1.24953756784427,-0.876955796397468,0.004103052739023499,0.2586580113751665,-0.15604899731638416
low_stock_amount_share_in_industry,train,3,1212,24240,20.0,39.08773728816761,0.0036970542976849114,0.0035605643496554127,0.5429042904290429,0.50259900990099,1.324698773330433,1.224475320693743,-0.876955796397468,0.003697054297684912,0.23881830905959758,-0.15604899731638416
low_stock_amount_share_in_industry,train,5,1210,24200,20.0,27.492012613559304,0.0033936087492863402,0.003522900461127634,0.5421487603305785,0.5019834710743801,1.2975564305146918,1.2057410669315252,-0.8769557963974679,0.00339360874928634,0.12551355072270398,-0.15604899731638416
low_stock_amount_share_in_industry,train,10,1205,24100,20.0,15.372972269030154,0.002921475231837916,0.003415720813376988,0.5402489626556016,0.4999585062240664,1.2551005851167787,1.1763918410171124,-0.8833195538654808,0.0029214752318379154,0.11242680642471051,-0.15604899731638416
low_stock_amount_share_in_industry,train,20,1195,23900,20.0,5.400977177332247,0.002121668411380766,0.002617882823281992,0.5364016736401673,0.49598326359832634,1.1837247287184336,1.1271639197486583,-0.893102404154351,0.002121668411380766,0.08655803522400976,-0.15604899731638416
low_stock_ret_60d,train,0,1155,23100,20.0,14.478653568699555,0.0038492954166887594,0.0011609945600376758,0.5038961038961038,0.46220779220779223,1.2067725109351357,1.1346029029272766,-0.9022219523380247,0.0038492954166887586,0.2851839439855045,-0.2072992986064947
low_stock_ret_60d,train,1,1154,23080,20.0,11.043920748572711,0.0036055045600433384,0.0011110373158394026,0.5034662045060658,0.4617417677642981,1.193509117705824,1.12596881891264,-0.9022219523380247,0.003605504560043338,0.24857258791338124,-0.2072992986064947
low_stock_ret_60d,train,3,1152,23040,20.0,6.809599505100908,0.0031918521430606803,0.0007944397575133683,0.5026041666666666,0.46085069444444443,1.1710113042037418,1.111325481448206,-0.9022219523380247,0.0031918521430606794,0.2275725335240558,-0.2072992986064947
low_stock_ret_60d,train,5,1150,23000,20.0,4.365823119221301,0.002838105973545882,0.0004361312504250703,0.5017391304347826,0.45995652173913043,1.1517944954462043,1.0988231422443024,-0.9175299773794503,0.0028381059735458816,0.15994966406469388,-0.2072992986064947
low_stock_ret_60d,train,10,1145,22900,20.0,1.6640668066774915,0.0021940395488761577,-0.00010556500171380878,0.4995633187772926,0.45759825327510917,1.1168367621959263,1.0760645235251218,-0.9175299773794503,0.002194039548876157,0.1452916706771536,-0.2072992986064947
low_stock_ret_60d,train,20,1135,22700,20.0,-0.25625314860063286,0.0010140827991402678,-0.0005417298024205042,0.4951541850220264,0.45308370044052865,1.0535301983504564,1.0348551925816034,-0.9269706972839062,0.0010140827991402678,0.12295057494674752,-0.2072992986064947
combo_low_liquidity_weak_momentum,validation,0,484,9680,20.0,3.4204532724790093,0.004732306918420068,-0.0024260898147837632,0.4607438016528926,0.4580578512396694,1.328498228807605,1.2320288883920578,-0.8842751415675365,0.004732306918420066,0.5914288577738238,-0.22707616071038067
combo_low_liquidity_weak_momentum,validation,1,483,9660,20.0,1.7776631364235627,0.0035176142665455244,-0.0024892371566076323,0.45962732919254656,0.456935817805383,1.2436745158912428,1.1721151656036235,-0.8842751415675365,0.003517614266545525,0.37858497675761876,-0.22707616071038067
combo_low_liquidity_weak_momentum,validation,3,481,9620,20.0,0.48856818904637067,0.0020101109650737,-0.002743182129874461,0.4573804573804574,0.4546777546777547,1.1386691572528707,1.0979464958713414,-0.8842751415675365,0.0020101109650736996,0.30372053808852295,-0.22707616071038067
combo_low_liquidity_weak_momentum,validation,5,479,9580,20.0,-0.10170416236726243,0.0008185519515381251,-0.002800322165616498,0.4551148225469729,0.4525052192066806,1.0562336830616492,1.0397198917037414,-0.8842751415675365,0.0008185519515381251,0.20481800237255526,-0.22707616071038067
combo_low_liquidity_weak_momentum,validation,10,474,9480,20.0,-0.626001474604883,-0.0011938964344489769,-0.0030322810874856025,0.44936708860759494,0.4471518987341772,0.9188366873982589,0.9426417975895738,-0.8842751415675365,-0.001193896434448977,0.16516245998813567,-0.22707616071038067
combo_low_liquidity_weak_momentum,validation,20,464,9280,20.0,-0.8735469898803023,-0.0036950075589226414,-0.0035427660724545425,0.4375,0.4358836206896552,0.7541059166881738,0.8261565522824741,-0.9399272969099869,-0.003695007558922642,0.0888722157353479,-0.22707616071038067
combo_low_size_low_liquidity,validation,0,484,9680,20.0,5.491081184972882,0.005575893933601552,-0.0027985631194502366,0.45661157024793386,0.4558884297520661,1.4378181236973833,1.3379376289083411,-0.852403882593952,0.005575893933601554,0.5266750184450688,-0.23747716216166376
combo_low_size_low_liquidity,validation,1,483,9660,20.0,3.2517766430632395,0.00449701375862957,-0.002833292658831943,0.4554865424430642,0.45476190476190476,1.352375103919416,1.27198692941082,-0.852403882593952,0.004497013758629572,0.481139634598743,-0.23747716216166376
combo_low_size_low_liquidity,validation,3,481,9620,20.0,0.9508694163130931,0.002535271398056987,-0.0029145411067346694,0.45322245322245325,0.4524948024948025,1.1978351256739712,1.1527025256982184,-0.8524038825939522,0.002535271398056988,0.34497561977798263,-0.23747716216166376
combo_low_size_low_liquidity,validation,5,479,9580,20.0,0.11072545267320466,0.0011870532672904651,-0.002925546835472781,0.4509394572025052,0.4502087682672234,1.0922443109396887,1.0712003958538467,-0.8524038825939522,0.0011870532672904653,0.2845467192358237,-0.23747716216166376
combo_low_size_low_liquidity,validation,10,474,9480,20.0,-0.5797612346065858,-0.0010759056185494329,-0.0029739630464498124,0.4451476793248945,0.44440928270042196,0.9172655494465064,0.9361399573572539,-0.8524038825939522,-0.001075905618549433,0.13407856891948217,-0.23747716216166376
combo_low_size_low_liquidity,validation,20,464,9280,20.0,-0.8422564980318143,-0.003321459101828435,-0.0036079527207903473,0.4331896551724138,0.43254310344827585,0.7499765407382821,0.8070149899670059,-0.8904409959254727,-0.003321459101828436,0.07674096051363714,-0.23747716216166376
low_log_amount,validation,0,484,9680,20.0,21.32456903675376,0.008214628539122583,-0.0025254998481515772,0.45867768595041325,0.4609504132231405,1.690866384788532,1.5151066302988052,-0.7574738331647854,0.008214628539122583,0.5790057781756983,-0.1922285893773429
low_log_amount,validation,1,483,9660,20.0,13.138370704726894,0.007032866324554102,-0.002613511612320668,0.4575569358178054,0.4598343685300207,1.59025580114004,1.4400918664361309,-0.7574738331647856,0.007032866324554104,0.5509797135602565,-0.1922285893773429
low_log_amount,validation,3,481,9620,20.0,5.576950902852228,0.00511409029764254,-0.0026556145036559066,0.4553014553014553,0.4575883575883576,1.4274390922908757,1.3186965169181404,-0.7574738331647854,0.005114090297642539,0.3380892193103393,-0.1922285893773429
low_log_amount,validation,5,479,9580,20.0,2.7598165037972118,0.003788090577946539,-0.0028982372936106116,0.453027139874739,0.45532359081419627,1.3152946771486442,1.2350821841576498,-0.7574738331647854,0.003788090577946541,0.28672487482741416,-0.1922285893773429
low_log_amount,validation,10,474,9480,20.0,0.26175718834113293,0.0012513410648266057,-0.0034207981505441133,0.4472573839662447,0.44978902953586497,1.1030658547122358,1.0768535811882154,-0.7574738331647854,0.001251341064826605,0.17822749742909338,-0.1922285893773429
low_log_amount,validation,20,464,9280,20.0,-0.6082489946007478,-0.001401568379037269,-0.0038277428681536083,0.4353448275862069,0.4390086206896552,0.886996201540021,0.9156104628435409,-0.8099986991709225,-0.0014015683790372692,0.08779280181378937,-0.1922285893773429
low_log_total_mv,validation,0,484,9680,20.0,2237.9466597977525,0.02050614879321123,-0.0033459428339845053,0.4628099173553719,0.4643595041322314,2.144813938770204,1.8970422051415448,-0.8171529202660273,0.02050614879321123,0.8360219767519196,-0.1873332405624371
low_log_total_mv,validation,1,483,9660,20.0,1218.4552615097982,0.01881771022600894,-0.003631087688295531,0.4616977225672878,0.4632505175983437,2.0483815030072186,1.8214806122097504,-0.8171529202660275,0.01881771022600894,0.6616957575609111,-0.1873332405624371
