rule_id,split,roundtrip_cost_bps,regime_type,regime_value,signal_days,total_trades,avg_selected_count,cumulative_return,mean_daily_return,median_daily_return,daily_win_rate,trade_win_rate,profit_factor,trade_profit_factor,max_drawdown,avg_trade_return,max_daily_return,min_daily_return
low_log_amount,validation,0,extreme_selloff_flag,True,78,1560,20.0,0.6343900347708178,0.007752078590779357,-3.0303522526659065e-05,0.5,0.4846153846153846,1.6019882160887633,1.4345927570170536,-0.3577734742183021,0.007752078590779357,0.24326355438943645,-0.16301524881415747
low_log_amount,validation,0,industry_crowding_regime,crowding_high,196,3920,20.0,16.6149230196747,0.01674106176551847,-0.0016805233906702938,0.4744897959183674,0.4987244897959184,3.1801463617490526,2.4698109070146503,-0.32845426128621946,0.01674106176551847,0.5790057781756983,-0.06509909204380063
low_log_amount,validation,0,industry_crowding_regime,crowding_low,26,520,20.0,-0.2064539887570227,-0.006812379193549973,-0.0026646340476994047,0.5,0.4461538461538462,0.7212128786741989,0.7697997881356912,-0.3498167266386525,-0.006812379193549972,0.11561776604391028,-0.1922285893773429
low_log_amount,validation,0,industry_crowding_regime,crowding_normal,262,5240,20.0,0.5970930553749441,0.0033273052134580494,-0.00454148996808014,0.44274809160305345,0.43416030534351147,1.2411804204303616,1.1848227139344547,-0.7210619711591519,0.0033273052134580486,0.5509797135602565,-0.17950581720511888
low_log_amount,validation,0,market_regime_id,neutral|low_vol|crowding_high,37,740,20.0,0.5065314593530548,0.013278043418386886,-0.006163555547968991,0.2972972972972973,0.3945945945945946,2.600463612459471,2.2427287397021782,-0.2269728490766394,0.013278043418386882,0.3380892193103393,-0.03461704770054495
low_log_amount,validation,0,market_regime_id,neutral|low_vol|crowding_normal,74,1480,20.0,2.6871438973714326,0.020470152620265417,-0.0035663181733649823,0.4594594594594595,0.4891891891891892,4.62616588376493,3.6128367033135937,-0.23549595615710273,0.020470152620265414,0.5509797135602565,-0.03112949653493894
low_log_amount,validation,0,market_regime_id,neutral|normal_vol|crowding_high,80,1600,20.0,2.375734601505029,0.01796417756619343,-0.0008103788101326199,0.4875,0.50375,5.10692346304896,3.1430417294551654,-0.12697258681295986,0.01796417756619343,0.5790057781756983,-0.031397059451603815
low_log_amount,validation,0,market_regime_id,neutral|normal_vol|crowding_low,5,100,20.0,-0.2841660439950747,-0.0622167137738884,-0.02908158200958479,0.0,0.1,0.0,0.028692637662751798,-0.27038506156615627,-0.062216713773888405,-0.01888802120540471,-0.1922285893773429
low_log_amount,validation,0,market_regime_id,neutral|normal_vol|crowding_normal,97,1940,20.0,-0.324133682172986,-0.00294010162364052,-0.008879440353716872,0.38144329896907214,0.37371134020618557,0.8337933595735139,0.8735305189394255,-0.7401502683511172,-0.0029401016236405213,0.227123979516097,-0.13741781168975425
low_log_amount,validation,0,market_regime_id,strong|high_vol|crowding_high,29,580,20.0,1.0586348113929303,0.025891503810619873,0.028605476214385174,0.6896551724137931,0.6741379310344827,5.354395390833117,3.470118245554091,-0.08906256082528041,0.02589150381061987,0.09925260842719694,-0.03962507178416218
