model_id,baseline_id,split,signal_days,avg_overlap_count,avg_overlap_ratio_model,avg_overlap_ratio_baseline,avg_model_only_count,avg_baseline_only_count,avg_overlap_return,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only,avg_model_daily_return,avg_baseline_daily_return,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate
logistic_primary_sgd_l2,low_stock_ret_60d,train,1155,0.17402597402597403,0.008701298701298701,0.008701298701298701,19.825974025974027,19.825974025974027,0.036670309971713874,0.002992817403862742,0.0035816707746884643,-0.0005888533708257224,0.003274053737099454,0.0038492954166887594,-0.0005752416795893046,0.959236858711887,0.5056277056277056
ridge_conditional_industry_ablation,combo_low_liquidity_weak_momentum,train,1155,4.63030303030303,0.2315151515151515,0.2315151515151515,15.36969696969697,15.36969696969697,0.004134560701850306,0.0035952350940778076,0.00316412338235423,0.0004311117117235777,0.0037551667038471875,0.0032004379977607447,0.0005547287060864426,1.1009931409526574,0.541991341991342
ridge_conditional_industry_ablation,combo_low_size_low_liquidity,train,1215,6.9069958847736626,0.34534979423868317,0.34534979423868317,13.093004115226337,13.093004115226337,0.002398223660545333,0.004130102912420097,0.0023684656971958962,0.0017616372152242008,0.003538274176664336,0.0022923630469456236,0.001245911129718711,1.3104974629249984,0.5259259259259259
ridge_conditional_industry_ablation,low_log_amount,train,1215,4.25761316872428,0.21288065843621398,0.21288065843621398,15.74238683127572,15.74238683127572,0.001639455021293363,0.004068843395572494,0.003220245710550117,0.0008485976850223769,0.003538274176664336,0.003352984119184931,0.00018529005747940409,1.0250044402722691,0.5456790123456791
ridge_conditional_industry_ablation,low_log_total_mv,train,1215,3.096296296296296,0.15481481481481482,0.15481481481481482,16.903703703703705,16.903703703703705,0.0021301909495640885,0.0037543984517486263,0.002300469913889196,0.0014539285378594303,0.003538274176664336,0.0023657592403623757,0.0011725149363019593,1.1824491547554088,0.5259259259259259
ridge_conditional_industry_ablation,low_stock_amount_share_in_industry,train,1215,4.605761316872428,0.23028806584362135,0.23028806584362135,15.394238683127572,15.394238683127572,0.002125590288969536,0.003978981516912127,0.004742947892089002,-0.0007639663751768744,0.003538274176664336,0.004344755410111012,-0.0008064812334466764,0.8881032877716885,0.49876543209876545
ridge_conditional_industry_ablation,low_stock_ret_60d,train,1155,0.2943722943722944,0.01471861471861472,0.01471861471861472,19.705627705627705,19.705627705627705,0.031188258895438296,0.0034599713527079983,0.0035757371052933464,-0.00011576575258534809,0.0037551667038471875,0.0038492954166887594,-9.412871284157139e-05,0.9930705158090556,0.5341991341991342
ridge_primary_alpha1,combo_low_liquidity_weak_momentum,train,1155,5.158441558441559,0.2579220779220779,0.2579220779220779,14.841558441558442,14.841558441558442,0.004184948789564554,0.0037119473588828867,0.00302330437980238,0.0006886429790805065,0.003815688350057117,0.0032004379977607447,0.0006152503522963736,1.1174928638398458,0.5367965367965368
ridge_primary_alpha1,combo_low_size_low_liquidity,train,1215,6.761316872427984,0.3380658436213992,0.3380658436213992,13.238683127572017,13.238683127572017,0.0024419949154373156,0.004041936007795965,0.00226312526622463,0.0017788107415713347,0.0035992561548162773,0.0022923630469456236,0.0013068931078706538,1.3276544464550828,0.5259259259259259
ridge_primary_alpha1,low_log_amount,train,1215,3.8584362139917694,0.19292181069958847,0.19292181069958847,16.14156378600823,16.14156378600823,0.0015312236845313072,0.0041136544434403,0.003267741387907323,0.0008459130555329769,0.0035992561548162773,0.003352984119184931,0.00024627203563134674,1.0331581447601137,0.5333333333333333
