model_id,baseline_id,split,avg_replacement_return_diff,replacement_diff_pf,replacement_diff_positive_day_rate,avg_model_only_return,avg_baseline_only_return,model_only_minus_baseline_only
logistic_primary_sgd_l2,combo_low_size_low_liquidity,validation,0.0011719716742914017,1.1900681855532709,0.4896694214876033,0.007179945053874797,0.0058645741763361115,0.0013153708775386855
logistic_primary_sgd_l2,low_log_amount,validation,-0.0014667629312296268,0.8515201389242,0.5,0.007015654797236484,0.008538063121377705,-0.001522408324141221
logistic_primary_sgd_l2,low_log_total_mv,validation,-0.013758283185318274,0.49419043165675874,0.48760330578512395,0.006590453727384996,0.020722803155582697,-0.014132349428197702
logistic_primary_sgd_l2,low_stock_amount_share_in_industry,validation,-0.0016722141250523318,0.8293629398570916,0.512396694214876,0.006793248004768682,0.008666432999672092,-0.0018731849949034096
logistic_primary_sgd_l2,low_stock_ret_60d,validation,0.00173599104225571,1.1238231978906061,0.5289256198347108,0.00681905328895237,0.005071736340269881,0.001747316948682489
ridge_conditional_industry_ablation,combo_low_liquidity_weak_momentum,validation,0.001603965359328861,1.2383187589180666,0.5041322314049587,0.005248251112100891,0.003659161416751552,0.001589089695349339
ridge_conditional_industry_ablation,combo_low_size_low_liquidity,validation,0.0007603783441473748,1.1128043856675407,0.4793388429752066,0.006570623791671847,0.005969007549663845,0.0006016162420080023
ridge_conditional_industry_ablation,low_log_amount,validation,-0.0018783562613736544,0.8165188421967338,0.4772727272727273,0.006323760206038553,0.008950609539343497,-0.002626849333304944
ridge_conditional_industry_ablation,low_log_total_mv,validation,-0.014169876515462303,0.4803869892050926,0.4607438016528926,0.005751404439386334,0.02039726782821512,-0.014645863388828787
ridge_conditional_industry_ablation,low_stock_amount_share_in_industry,validation,-0.0020838074551963585,0.7863335931943753,0.49173553719008267,0.006504716490843266,0.008985531848593053,-0.002480815357749787
ridge_conditional_industry_ablation,low_stock_ret_60d,validation,0.0013243977121116825,1.0922144990974774,0.5,0.0062052195647483216,0.004893151297553794,0.0013120682671945274
ridge_primary_alpha1,combo_low_liquidity_weak_momentum,validation,0.0025631864787158845,1.398331654818154,0.5,0.00661097036479812,0.0035238021065892335,0.003087168258208887
ridge_primary_alpha1,combo_low_size_low_liquidity,validation,0.0017195994635343982,1.2525668696123213,0.493801652892562,0.007661108662069409,0.0060620020423880535,0.0015991066196813552
ridge_primary_alpha1,low_log_amount,validation,-0.00091913514198663,0.9108084630921707,0.5103305785123967,0.007343461815301331,0.00876113396218523,-0.0014176721468838992
ridge_primary_alpha1,low_log_total_mv,validation,-0.01321065539607528,0.5098084383759938,0.4731404958677686,0.006826443981592428,0.02040229725181294,-0.013575853270220511
ridge_primary_alpha1,low_stock_amount_share_in_industry,validation,-0.0011245863358093349,0.8858211886062646,0.5,0.007474772692560225,0.008780848121384232,-0.001306075428824007
ridge_primary_alpha1,low_stock_ret_60d,validation,0.0022836188314987074,1.164370052322526,0.512396694214876,0.007174028759493456,0.004889711290461367,0.0022843174690320885
