trade_date,codes,ew_ret,median_ret,breadth_positive,dispersion,total_amount,top50_amount_share,top100_amount_share,top300_amount_share,top1_industry_amount_share,top3_industry_amount_share,top5_industry_amount_share,roll60_ew_ret,roll60_breadth,roll20_dispersion,roll60_ew_ret_q,roll60_breadth_q,top5_industry_amount_share_q,roll20_dispersion_q,regime_initial,extreme_selloff_flag,trend_regime,vol_low_threshold_tminus1,vol_high_threshold_tminus1,vol_regime,high_vol_flag,low_vol_flag,crowding_low_threshold_tminus1,crowding_high_threshold_tminus1,industry_crowding_regime,industry_crowding_high_flag,industry_crowding_low_flag,stock_concentration_low_threshold_tminus1,stock_concentration_high_threshold_tminus1,stock_concentration_regime,stock_concentration_high_flag,market_regime_id,uses_future_data,definition_version
20250212,5386,0.010602749647112197,0.004830917874396157,0.6611585592276272,0.025544078296581882,1712502990.395,0.17600303369016526,0.2644675808931203,0.44973365930903,0.13907136553382998,0.3122510785541232,0.41956288781094203,-0.016425029407869163,0.483388324264136,0.026850103669041742,2.0,3.0,5,3.0,neutral,False,neutral,0.023897146245460636,0.03225309262735549,normal_vol,False,False,0.25921582749190064,0.335184794037557,crowding_high,True,False,0.23931181329843587,0.3040350116401441,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250213,5387,-0.010435313768421583,-0.012089810017271163,0.21384815296083162,0.027172524802713066,1855383967.487,0.18200545455471395,0.27081078060168184,0.4603585234165201,0.14264975473700942,0.28755525640098445,0.401925152900312,-0.017226986583067094,0.4823257710628138,0.026913360721087513,2.0,3.0,5,3.0,neutral,False,neutral,0.023898710338442264,0.03225109934689546,normal_vol,False,False,0.2592185135630386,0.33520790313891086,crowding_high,True,False,0.23932947036022303,0.3039997872274326,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250214,5386,0.0029020442499246594,-0.0011644833592446835,0.4455997029335314,0.03048501743485413,1745963506.57,0.17645781000214045,0.26695773864006184,0.4611423108560374,0.1655484570275075,0.294845759382635,0.40772138683727954,-0.016856173784236206,0.4816977593865051,0.027163793018626026,2.0,3.0,5,3.0,neutral,False,neutral,0.02390027443142389,0.03224910606643543,normal_vol,False,False,0.2592211996341765,0.33524345068481404,crowding_high,True,False,0.23934712742201017,0.303964562814721,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250217,5389,0.01287641549114577,0.008799171842649889,0.6819447021710893,0.030764374560716866,1971784537.464,0.17606784546424534,0.26560744560538063,0.45267591756449527,0.16144038568453975,0.29313901263137027,0.3985108219971253,0.02491931179972151,0.49154750392462,0.027271743687833316,3.0,4.0,5,3.0,neutral,False,neutral,0.023901838524405517,0.03224711278597541,normal_vol,False,False,0.25922388570531446,0.33531865196876676,crowding_high,True,False,0.23936478448379733,0.3039293384020095,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250218,5388,-0.023719789804174263,-0.025393725198412653,0.13567186340014847,0.02990900271887644,1826288339.718,0.1640315846331565,0.2490260653425764,0.43618520709495645,0.142096198004019,0.2868156047718522,0.40339815196036255,0.018879638859568004,0.49091732287422407,0.027442172411848504,3.0,4.0,5,3.0,neutral,True,neutral,0.023903402617387146,0.03224511950551538,normal_vol,False,False,0.2592265717764524,0.3354108133961909,crowding_high,True,False,0.2393824415455845,0.3038941139892979,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250219,5388,0.02229328973138509,0.01650536856306739,0.8621009651076467,0.028140837631756437,1749226887.9350002,0.17392935312420454,0.2644703061442939,0.45464764159716714,0.13310102899621765,0.2913685950898434,0.4094322991235731,0.06516604331203157,0.501657745038076,0.027448690563018786,4.0,5.0,5,3.0,neutral,False,neutral,0.023903529626709268,0.03224402313648997,normal_vol,False,False,0.25925542918215516,0.3354428621801819,crowding_high,True,False,0.23939309080864604,0.3038630808881895,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250220,5387,0.009953157926446016,0.00562700964630225,0.6268795247818824,0.02858827854527541,1791461772.071,0.16081713772097278,0.24637811440360843,0.4338101411656578,0.12456472001522335,0.290616750862695,0.40671513851154795,0.052036766932796796,0.4980503371800212,0.027698776054800117,4.0,4.0,5,3.0,neutral,False,neutral,0.02390365663603139,0.032242926767464555,normal_vol,False,False,0.25928428658785785,0.33548330032326534,crowding_high,True,False,0.2394037400717076,0.303832047787081,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250221,5389,0.009379499023044935,0.001712328767123239,0.532937465206903,0.030866752409354485,2231055062.032,0.1765605099733527,0.2676855654226046,0.45506604646651155,0.13762118513263125,0.3113003030518833,0.43002597815994154,0.037927841337055845,0.49271355754465324,0.028108673010884683,3.0,4.0,5,3.0,neutral,False,neutral,0.023903783645353515,0.03224183039843914,normal_vol,False,False,0.2593131439935606,0.3355432073436989,crowding_high,True,False,0.23941438933476913,0.30380101468597254,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250224,5386,0.003086943462292407,0.0010672553086554792,0.5157816561455626,0.03003638658738697,2115366051.297,0.166864063539536,0.25136774040737586,0.4410968471687902,0.13433481158911847,0.2952838485414933,0.4136546248378573,0.0357868428894359,0.49333579395469257,0.02835092949914164,3.0,4.0,5,3.0,neutral,False,neutral,0.023903910654675637,0.03224073402941373,normal_vol,False,False,0.2593420013992633,0.33561464024437726,crowding_high,True,False,0.23942503859783068,0.3037699815848641,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
20250225,5384,-0.004181948659027533,-0.008530330088960536,0.2854754829123328,0.026584851722912344,1925476808.659,0.16588523323137405,0.25476023311266655,0.44560651502604093,0.1335422451419086,0.30318321513442104,0.42179065410952493,0.06936237803263556,0.49676312114456084,0.028426084817391957,4.0,4.0,5,3.0,neutral,False,neutral,0.02390403766399776,0.032239637660388315,normal_vol,False,False,0.259370858804966,0.33567063351283166,crowding_high,True,False,0.23943568786089223,0.30373894848375566,stock_concentration_normal,False,neutral|normal_vol|crowding_high,False,batch3A_v1_fixed_trend_prior_expanding_quantiles
