scenario_id,cost_case,capital,participation_cap,slippage_bp,include_commission_tax,include_impact,partial_fill,zero_fill,enforce_limit_suspend,cumulative_return,avg_daily_return,trade_win_rate,daily_win_rate,max_drawdown,profit_factor,auc,total_trades,trading_days,avg_daily_trades,avg_fill_ratio,partial_fill_count,zero_fill_count,max_profit_day,max_profit_day_return,max_loss_day,max_loss_day_return,cum_return_drop_top1_profit_day,cum_return_drop_top3_profit_days,cum_return_drop_top5_profit_days,unfilled_reason_filled,unfilled_reason_partial_fill_capacity,unfilled_reason_zero_fill_capacity,unfilled_reason_no_buy_limit_or_missing,unfilled_reason_no_exit_limit_or_missing,drawdown_start,drawdown_end,drawdown_days
capacity_300000_part_300bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,5,True,True,True,True,True,0.0010161919768565397,9.891001767666575e-05,0.4421416234887737,0.4827586206896552,-0.06578631871923579,1.0115145436752722,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.029494924430241515,20260306,-0.0338047686887913,-0.027662819677470862,-0.0725471379934921,-0.10918414611570315,465,114,1,0,0,20260225,20260320,18
capacity_300000_part_300bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,10,True,True,True,True,True,-0.05118337200178513,-0.0008240401772384538,0.4317789291882556,0.41379310344827586,-0.08060352971908935,0.9096328808547578,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.028513781735262866,20260306,-0.0347624186626857,-0.07748768674989126,-0.11833695806536404,-0.15151542128910656,465,114,1,0,0,20260225,20260320,18
capacity_300000_part_300bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,15,True,True,True,True,True,-0.10065760727941098,-0.001746069166881121,0.4214162348877375,0.3793103448275862,-0.11889286099734098,0.8191861601879459,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.027533618276035177,20260306,-0.03571911283915783,-0.12475623500331046,-0.16186304454099054,-0.191832257566514,465,114,1,0,0,20260224,20260519,57
capacity_300000_part_300bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.03,20,True,True,True,True,True,-0.14754899515468556,-0.0026671783297586467,0.4110535405872193,0.3620689655172414,-0.16334145225383423,0.7385295650352925,0.5334428792730082,580,58,10.0,0.9230832982520665,114,1,20260407,0.026554432587290854,20260306,-0.0366748526484164,-0.1695998012527914,-0.20323747759204736,-0.23023067001427644,465,114,1,0,0,20260224,20260519,57
capacity_300000_part_500bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,5,True,True,True,True,True,0.018627740914809454,0.0004040073578713398,0.4421416234887737,0.4827586206896552,-0.06487860710894644,1.0462799175961182,0.5334428792730082,580,58,10.0,0.9692272934766203,52,1,20260407,0.03057305182468084,20260306,-0.034117687087526806,-0.011590940485705081,-0.05771350004729181,-0.09543822817566416,527,52,1,0,0,20260225,20260320,18
capacity_300000_part_500bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,10,True,True,True,True,True,-0.037070096829459276,-0.0005653824032978506,0.4317789291882556,0.41379310344827586,-0.08021894757519954,0.9390448070427269,0.5334428792730082,580,58,10.0,0.9692272934766203,52,1,20260407,0.029556225484567135,20260306,-0.035083292203650265,-0.06471363162576993,-0.10657180876635397,-0.14064456986842622,527,52,1,0,0,20260225,20260320,18
capacity_300000_part_500bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,15,True,True,True,True,True,-0.08972101426361878,-0.0015338046144538586,0.4214162348877375,0.39655172413793105,-0.10948885135141073,0.8439968568568038,0.5334428792730082,580,58,10.0,0.9692272934766203,52,1,20260407,0.028540413985557945,20260306,-0.036047933584263545,-0.11497985557117563,-0.15289547690295346,-0.18359044743808328,527,52,1,0,0,20260225,20260519,56
capacity_300000_part_500bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.05,20,True,True,True,True,True,-0.13949179118604083,-0.0025012607234445533,0.4075993091537133,0.3793103448275862,-0.1557853011308017,0.7593974267622873,0.5334428792730082,580,58,10.0,0.9692272934766203,52,1,20260407,0.027525615809121374,20260306,-0.03701161267145105,-0.16254330249824955,-0.19681608251727933,-0.22438897192172025,527,52,1,0,0,20260225,20260519,56
capacity_300000_part_1000bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,5,True,True,True,True,True,0.03028750047590667,0.0006019979727489334,0.4421416234887737,0.5,-0.06500816303937729,1.0686385816073174,0.5334428792730082,580,58,10.0,0.9928247825860953,11,1,20260407,0.030990568741486202,20260306,-0.034117687087526806,-0.0006819347207390747,-0.047313545937922474,-0.08588602011993052,568,11,1,0,0,20260305,20260320,12
capacity_300000_part_1000bp_slip_10bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,10,True,True,True,True,True,-0.02737710277852734,-0.0003911837313811647,0.4317789291882556,0.43103448275862066,-0.07990912319917742,0.9580376590171048,0.5334428792730082,580,58,10.0,0.9928247825860953,11,1,20260407,0.029959879096123677,20260306,-0.035083292203650265,-0.05566914113680699,-0.09793209899251232,-0.132721878966375,568,11,1,0,0,20260225,20260320,18
capacity_300000_part_1000bp_slip_15bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,15,True,True,True,True,True,-0.08181397718028083,-0.0013833741425984091,0.4214162348877375,0.39655172413793105,-0.10245048827680736,0.8600651274613593,0.5334428792730082,580,58,10.0,0.9928247825860953,11,1,20260407,0.028930218123741212,20260306,-0.036047933584263545,-0.10763042367048425,-0.14586090594492407,-0.17715778734870824,568,11,1,0,0,20260225,20260519,56
capacity_300000_part_1000bp_slip_20bp,slippage_plus_impact_plus_participation_partial_zero,300000,0.1,20,True,True,True,True,True,-0.13320383220448428,-0.002374574744273879,0.4075993091537133,0.3793103448275862,-0.15018517513182805,0.7729551296975372,0.5334428792730082,580,58,10.0,0.9928247825860953,11,1,20260407,0.027901584285116486,20260306,-0.03701161267145105,-0.1567323360063173,-0.1912429288900247,-0.21931675607253298,568,11,1,0,0,20260225,20260519,56
capacity_500000_part_100bp_slip_5bp,slippage_plus_impact_plus_participation_partial_zero,500000,0.01,5,True,True,True,True,True,-0.02755760761727266,-0.0004526918275355778,0.4438687392055268,0.4827586206896552,-0.046934134478665346,0.9200274048662834,0.5334428792730082,580,58,10.0,0.517804037267043,425,1,20260520,0.018023040153375698,20260227,-0.02134123340687003,-0.04477368976224849,-0.07439464379977057,-0.09856209746998335,154,425,1,0,0,20260225,20260519,56
