scenario_id,rule_id,split,trade_date,gross_pnl_yuan,net_pnl_yuan,entry_cost_yuan,exit_cost_yuan,total_cost_yuan,close_market_value_yuan,traded_notional_yuan,entry_notional_yuan,exit_notional_yuan,active_positions,entry_count,exit_count,avg_fill_ratio,prev_equity_yuan,equity_yuan,daily_return,gross_exposure_ratio,daily_turnover_ratio
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191119,28924.785427747785,26876.582067321786,1000.0,1048.2033604259989,2048.2033604259987,1041528.7767646292,409640.6720851998,200000.0,209640.6720851998,100,20,20,1.0,287047.1040726783,313923.6861400001,0.09363126011721346,3.6284246104114026,1.4270851935906717
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191120,8255.908515524377,6190.8319162673015,1000.0,1065.0765992570755,2065.0765992570755,1040144.0131949538,413015.3198514151,200000.0,213015.31985141512,100,20,20,1.0,313923.6861400001,320114.5180562674,0.019720818114713348,3.313365824619816,1.3156551674384431
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191121,10741.816290932407,8673.118466624683,1000.0,1068.6978243077247,2068.6978243077247,1037870.5096344711,413739.56486154493,200000.0,213739.56486154493,100,20,20,1.0,320114.5180562674,328787.6365228921,0.027093799179393,3.2421850653210353,1.2924736040519749
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191122,-10127.95880290702,-12201.43729358465,1000.0,1073.4784906776292,2073.4784906776295,1014002.9859700191,414695.69813552586,200000.0,214695.69813552586,100,20,20,1.0,328787.6365228921,316586.1992293075,-0.037110389619942764,3.0840666537636623,1.2612873845292913
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191125,-18160.872439229024,-20186.024507977298,1000.0,1025.1520687482735,2025.1520687482735,981146.4153952643,405030.41374965466,200000.0,205030.41374965466,100,20,20,1.0,316586.1992293075,296400.1747213302,-0.06376154285031325,3.099144617749453,1.279368509226411
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191126,4269.309527052884,2301.3124324220958,1000.0,967.9970946307877,1967.9970946307876,980385.3111726625,393599.4189261575,200000.0,193599.41892615755,100,20,20,1.0,296400.1747213302,298701.48715375224,0.007764207408398953,3.3076408004630977,1.3279324794467893
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191127,330.0634805046321,-1647.1546410111578,1000.0,977.21812151579,1977.21812151579,987115.9557270096,395443.624303158,200000.0,195443.624303158,100,20,20,1.0,298701.48715375224,297054.3325127411,-0.005514383797370613,3.304690462484728,1.323875646121605
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191128,4424.394132471327,2445.319568392667,1000.0,979.0745640786595,1979.0745640786595,996096.7255563228,395814.9128157319,200000.0,195814.9128157319,100,20,20,1.0,297054.3325127411,299499.65208113374,0.00823189329611203,3.35324759322808,1.3324663857537065
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191129,18293.815666640938,16283.620162519597,1000.0,1010.1955041213396,2010.1955041213396,1018575.6284072319,402039.1008242679,200000.0,202039.10082426792,100,20,20,1.0,299499.65208113374,315783.2722436533,0.05436941261657427,3.4009242459196654,1.342369174824138
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,train,20191202,-14057.386934817177,-16069.846002267182,1000.0,1012.4590674500064,2012.4590674500064,1002479.1406481469,402491.81349000125,200000.0,202491.81349000128,100,20,20,1.0,315783.2722436533,299713.4262413861,-0.0508888450236463,3.174579620780704,1.2745824395012444
