scenario_id,rule_id,split,trend_regime,trades,signal_days,net_pnl_yuan,avg_net_return_on_target,trade_win_rate,profit_factor,avg_fill_ratio
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,neutral,5860,293,-394914.5945181564,-0.0067391569030402125,0.3368600682593857,0.744423936570926,0.9825701322525596
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,strong,1880,94,-145092.0078246483,-0.007717659990672782,0.37872340425531914,0.6255753596093386,0.987387994680851
high_cost_1m_5pct_signal_100bps,combo_low_liquidity_weak_momentum,validation,weak,1940,97,39187.212119871634,0.0020199593876222464,0.45824742268041235,1.0689526040725181,1.0
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,neutral,5860,293,-738603.1861175175,-0.012604149933746036,0.33754266211604095,0.6595689471044222,1.0
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,strong,1880,94,-93720.78515551296,-0.004985148146569837,0.4154255319148936,0.8137585413624986,0.9984042553191489
high_cost_1m_5pct_signal_100bps,low_stock_ret_60d,validation,weak,1940,97,350365.97142057004,0.018060101619617012,0.506701030927835,1.4969935995194987,0.9989690721649485
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,neutral,5860,293,194108.1179964547,0.003312425221782505,0.4226962457337884,1.1613714779555824,1.0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,strong,1880,94,29620.184550957783,0.001575541731433927,0.49042553191489363,1.0995759401559588,1.0
no_cost_full_fill_1m,combo_low_liquidity_weak_momentum,validation,weak,1940,97,234359.00715564983,0.012080361193590197,0.5335051546391752,1.4944908054586412,1.0
no_cost_full_fill_1m,low_stock_ret_60d,validation,neutral,5860,293,-153370.03629901263,-0.0026172361143176246,0.39590443686006827,0.9151695186133615,1.0
no_cost_full_fill_1m,low_stock_ret_60d,validation,strong,1880,94,88529.65876105265,0.004709024402183651,0.4888297872340426,1.216294227880788,1.0
no_cost_full_fill_1m,low_stock_ret_60d,validation,weak,1940,97,549989.8354916454,0.028349991520187905,0.5536082474226804,1.8908620972739174,1.0
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,neutral,5860,293,-651646.5966788721,-0.002224049818016627,0.3887372013651877,0.8686802343688312,0.6630269529692833
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,strong,1880,94,-103945.49513275313,-0.00110580313971014,0.45,0.9275184530887312,0.8385892762765957
strict_5m_1pct_signal_40bps,combo_low_liquidity_weak_momentum,validation,weak,1940,97,717165.4318857575,0.007393458060677913,0.5123711340206185,1.3058063739682895,0.9006183486597938
strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,neutral,5860,293,-1890666.566538156,-0.006452786916512478,0.37406143344709897,0.8040464790987696,0.9922641631058021
strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,strong,1880,94,95033.27228412809,0.0010109922583417896,0.46595744680851064,1.0430766444673876,0.9966623369148937
strict_5m_1pct_signal_40bps,low_stock_ret_60d,validation,weak,1940,97,2393448.479646332,0.024674726594292085,0.5360824742268041,1.7515149023121377,0.9928511379381443
